,offender_race,offender_gender,rtcc_footage_request_tally,population,rate_per_1000_persons,year
0,asian,male,4,5499,0.7274049827241317,2021
1,black,male,1015,105498,9.621035469866728,2021
2,hispanic,male,1,11205,0.0892458723784025,2021
3,white,male,93,65756,1.4143196058154388,2021
