item_number,location
h0434519,"CANAL ST & ELK PL, New Orleans, Louisiana"
h0434519,"CANAL ST & ELK PL, New Orleans, Louisiana"
h0434519,"CANAL ST & ELK PL, New Orleans, Louisiana"
h0444519,"IBERVILLE ST & CHARTRES ST, New Orleans, Louisiana"
h0448619,"100  BOURBON ST, New Orleans, Louisiana"
h0470519,"1400 N CLAIBORNE BD, New Orleans, Louisiana"
h0555419,"CARONDELET ST & CANAL ST, New Orleans, Louisiana"
h0555419,"CARONDELET ST & CANAL ST, New Orleans, Louisiana"
h0562419,"300 BOURBON ST, New Orleans, Louisiana"
h0574219,"417 BOURBON ST, New Orleans, Louisiana"
h0574219,"417 BOURBON ST, New Orleans, Louisiana"
h0574219,"417 BOURBON ST, New Orleans, Louisiana"
h0574219,"417 BOURBON ST, New Orleans, Louisiana"
h0574219,"417 BOURBON ST, New Orleans, Louisiana"
h0574219,"417 BOURBON ST, New Orleans, Louisiana"
h0654119,"3300 PLEASURE ST, New Orleans, Louisiana"
h0701819,"3415 S CARROLLTON AV, New Orleans, Louisiana"
h0701819,"3415 S CARROLLTON AV, New Orleans, Louisiana"
h0701819,"3415 S CARROLLTON AV, New Orleans, Louisiana"
h0706519,"200 BOURBON ST, New Orleans, Louisiana"
h0752619,"500 JACKSON AV, New Orleans, Louisiana"
h0752619,"500 JACKSON AV, New Orleans, Louisiana"
h0769819,"2200  ORLEANS AV, New Orleans, Louisiana"
h0769819,"2200  ORLEANS AV, New Orleans, Louisiana"
h0769819,"2200  ORLEANS AV, New Orleans, Louisiana"
h0773019,"1400 FRANCE ST, New Orleans, Louisiana"
h0773019,"1400 FRANCE ST, New Orleans, Louisiana"
h0773019,"1400 FRANCE ST, New Orleans, Louisiana"
h0773019,"1400 FRANCE ST, New Orleans, Louisiana"
h0775919,"3423 LOUISA ST, New Orleans, Louisiana"
h0840919,"2800 JOSEPHINE ST, New Orleans, Louisiana"
h0844119,"DECATUR ST & ESPLANADE AV, New Orleans, Louisiana"
h0848319,"DALE ST & WARFIELD ST, New Orleans, Louisiana"
h0858719,"FRANKLIN & SAGE, New Orleans, Louisiana"
h0858719,"FRANKLIN & SAGE, New Orleans, Louisiana"
h0858719,"FRANKLIN & SAGE, New Orleans, Louisiana"
h1023519,"4237 ELYSIAN FIELDS, New Orleans, Louisiana"
h1023519,"4237 ELYSIAN FIELDS, New Orleans, Louisiana"
h1027619,"3340 ORLEANS AV, New Orleans, Louisiana"
h1027619,"3340 ORLEANS AV, New Orleans, Louisiana"
h1027619,"3340 ORLEANS AV, New Orleans, Louisiana"
h1027619,"3340 ORLEANS AV, New Orleans, Louisiana"
h1027619,"3340 ORLEANS AV, New Orleans, Louisiana"
h1027619,"3340 ORLEANS AV, New Orleans, Louisiana"
h1027619,"3340 ORLEANS AV, New Orleans, Louisiana"
h1061719,"1026 CONTI ST #2, New Orleans, Louisiana"
h1061719,"1026 CONTI ST #2, New Orleans, Louisiana"
h1063519,"1301 SAINT CHARLES AV, New Orleans, Louisiana"
h1063519,"1301 SAINT CHARLES AV, New Orleans, Louisiana"
h1063519,"1301 SAINT CHARLES AV, New Orleans, Louisiana"
h1165919,"300 TREME ST, New Orleans, Louisiana"
h1165919,"300 TREME ST, New Orleans, Louisiana"
h1167519,"509 N CARROLLTON AV, New Orleans, Louisiana"
h1167519,"509 N CARROLLTON AV, New Orleans, Louisiana"
h1297419,"2400 MARTIN LUTHER KING JR BD, New Orleans, Louisiana"
h1297419,"2400 MARTIN LUTHER KING JR BD, New Orleans, Louisiana"
h1297419,"2400 MARTIN LUTHER KING JR BD, New Orleans, Louisiana"
h1297419,"2400 MARTIN LUTHER KING JR BD, New Orleans, Louisiana"
h1312819,"GENERAL DE GAULLE DR & GARDEN OAKS DR, New Orleans, Louisiana"
h1312819,"GENERAL DE GAULLE DR & GARDEN OAKS DR, New Orleans, Louisiana"
h1381319,"339 BOURBON ST, New Orleans, Louisiana"
h1381319,"339 BOURBON ST, New Orleans, Louisiana"
h1381319,"339 BOURBON ST, New Orleans, Louisiana"
h1381319,"339 BOURBON ST, New Orleans, Louisiana"
h1381319,"339 BOURBON ST, New Orleans, Louisiana"
h1393019,"CANAL ST & ELK PL, New Orleans, Louisiana"
h1393019,"CANAL ST & ELK PL, New Orleans, Louisiana"
h1403719,"2900 GENERAL DE GAULLE DR, New Orleans, Louisiana"
h1408019,"7231 BUNKER HILL RD, New Orleans, Louisiana"
h1429619,"700 royal ST, New Orleans, Louisiana"
h1429619,"700 royal ST, New Orleans, Louisiana"
h1429619,"700 royal ST, New Orleans, Louisiana"
h1429619,"700 royal ST, New Orleans, Louisiana"
h1429619,"700 royal ST, New Orleans, Louisiana"
h1429619,"700 royal ST, New Orleans, Louisiana"
h1429619,"700 royal ST, New Orleans, Louisiana"
h1429619,"700 royal ST, New Orleans, Louisiana"
h1429619,"700 royal ST, New Orleans, Louisiana"
h1431719,"SAINT LOUIS ST & N JOHNSON ST, New Orleans, Louisiana"
h1431719,"SAINT LOUIS ST & N JOHNSON ST, New Orleans, Louisiana"
h1450519,"SAINT CHARLES AV & ERATO ST, New Orleans, Louisiana"
h1451019,"EAGLE ST & OAK ST, New Orleans, Louisiana"
h1510319,"400 HOMER ST, New Orleans, Louisiana"
h1510319,"400 HOMER ST, New Orleans, Louisiana"
h1537819,"1600 GALLIER ST, New Orleans, Louisiana"
h1537819,"1600 GALLIER ST, New Orleans, Louisiana"
h1537819,"1600 GALLIER ST, New Orleans, Louisiana"
h1551419,"700 BOURBON ST, New Orleans, Louisiana"
h1551419,"700 BOURBON ST, New Orleans, Louisiana"
h1551419,"700 BOURBON ST, New Orleans, Louisiana"
h1551419,"700 BOURBON ST, New Orleans, Louisiana"
h1553719,"CROWDER BD & MORRISON RD, New Orleans, Louisiana"
h1554919,"3168  SAINT CLAUDE AV, New Orleans, Louisiana"
h1561119,"2500 MARENGO ST, New Orleans, Louisiana"
h1561119,"2500 MARENGO ST, New Orleans, Louisiana"
h1617819,"5010 PIETY DR, New Orleans, Louisiana"
h1621819,"5953 TULLIS DR, New Orleans, Louisiana"
h1621819,"5953 TULLIS DR, New Orleans, Louisiana"
h1621819,"5953 TULLIS DR, New Orleans, Louisiana"
h1621819,"5953 TULLIS DR, New Orleans, Louisiana"
h1621819,"5953 TULLIS DR, New Orleans, Louisiana"
h1622419,"2929 URSULINES ST, New Orleans, Louisiana"
h1659519,"1100 SAINT PHILIP ST, New Orleans, Louisiana"
h1659519,"1100 SAINT PHILIP ST, New Orleans, Louisiana"
h1705519,"712 PELICAN, New Orleans, Louisiana"
h1705519,"712 PELICAN, New Orleans, Louisiana"
h1705519,"712 PELICAN, New Orleans, Louisiana"
h1705519,"712 PELICAN, New Orleans, Louisiana"
h1786819,"5009 READ BD, New Orleans, Louisiana"
h1824619,"1819 MARIGNY ST, New Orleans, Louisiana"
h1824619,"1819 MARIGNY ST, New Orleans, Louisiana"
h1857619,"1100 ESPLANADE AV, New Orleans, Louisiana"
h1857619,"1100 ESPLANADE AV, New Orleans, Louisiana"
h1898219,"S RAMPART ST & CANAL ST, New Orleans, Louisiana"
h1898219,"S RAMPART ST & CANAL ST, New Orleans, Louisiana"
h1898219,"S RAMPART ST & CANAL ST, New Orleans, Louisiana"
h1898219,"S RAMPART ST & CANAL ST, New Orleans, Louisiana"
h1898219,"S RAMPART ST & CANAL ST, New Orleans, Louisiana"
h1898219,"S RAMPART ST & CANAL ST, New Orleans, Louisiana"
h1919319,"300 BOURBON ST, New Orleans, Louisiana"
h1919319,"300 BOURBON ST, New Orleans, Louisiana"
h1919319,"300 BOURBON ST, New Orleans, Louisiana"
h1919319,"300 BOURBON ST, New Orleans, Louisiana"
h1919319,"300 BOURBON ST, New Orleans, Louisiana"
h1919319,"300 BOURBON ST, New Orleans, Louisiana"
h1919319,"300 BOURBON ST, New Orleans, Louisiana"
h1919319,"300 BOURBON ST, New Orleans, Louisiana"
h1919319,"300 BOURBON ST, New Orleans, Louisiana"
h1933719,"2006 MANDEVILLE ST, New Orleans, Louisiana"
h1948819,"FOY ST & TOURO ST, New Orleans, Louisiana"
h1948819,"FOY ST & TOURO ST, New Orleans, Louisiana"
h1948819,"FOY ST & TOURO ST, New Orleans, Louisiana"
h1948819,"FOY ST & TOURO ST, New Orleans, Louisiana"
h1979719,"129  BURGUNDY ST, New Orleans, Louisiana"
h2004719,"1000 SAINT CHARLES AV, New Orleans, Louisiana"
h2004719,"1000 SAINT CHARLES AV, New Orleans, Louisiana"
h2009919,"2500 CHIPPEWA ST, New Orleans, Louisiana"
h2009919,"2500 CHIPPEWA ST, New Orleans, Louisiana"
h2009919,"2500 CHIPPEWA ST, New Orleans, Louisiana"
h2009919,"2500 CHIPPEWA ST, New Orleans, Louisiana"
h2059219,"3532 TOULOUSE ST, New Orleans, Louisiana"
h2059219,"3532 TOULOUSE ST, New Orleans, Louisiana"
h2059219,"3532 TOULOUSE ST, New Orleans, Louisiana"
h2059219,"3532 TOULOUSE ST, New Orleans, Louisiana"
h2078119,"3600 MACARTHUR BD, New Orleans, Louisiana"
h2095319,"3150 OLIVER WHITE ST, New Orleans, Louisiana"
h2095619,"300 bourbon ST, New Orleans, Louisiana"
h2248019,"CANAL ST & BOURBON ST, New Orleans, Louisiana"
h2248019,"CANAL ST & BOURBON ST, New Orleans, Louisiana"
h2248019,"CANAL ST & BOURBON ST, New Orleans, Louisiana"
h2248019,"CANAL ST & BOURBON ST, New Orleans, Louisiana"
h2248019,"CANAL ST & BOURBON ST, New Orleans, Louisiana"
h2254519,"CANAL ST & CARONDELET ST, New Orleans, Louisiana"
h2265919,"4900 STEPHEN GIRARD AV, New Orleans, Louisiana"
h2266719,"700 BOURBON ST, New Orleans, Louisiana"
h2395519,"MARTIN LUTHER KING JR BD & S CLAIBORNE AV, New Orleans, Louisiana"
h2395519,"MARTIN LUTHER KING JR BD & S CLAIBORNE AV, New Orleans, Louisiana"
h2399719,"1700 N CLAIBORNE AVE ST, New Orleans, Louisiana"
h2399819,"3200 GENERAL MEYER AV, New Orleans, Louisiana"
h2399819,"3200 GENERAL MEYER AV, New Orleans, Louisiana"
h2418319,"334 ROYAL ST, New Orleans, Louisiana"
h2418319,"334 ROYAL ST, New Orleans, Louisiana"
h2418319,"334 ROYAL ST, New Orleans, Louisiana"
h2418319,"334 ROYAL ST, New Orleans, Louisiana"
h2560319,"3326 PLEASURE ST, New Orleans, Louisiana"
h2560319,"3326 PLEASURE ST, New Orleans, Louisiana"
h2568119,"2000 6TH ST, New Orleans, Louisiana"
h2568119,"2000 6TH ST, New Orleans, Louisiana"
h2575119,"S LIBERTY ST & MARTIN LUTHER KING JR BD, New Orleans, Louisiana"
h2575119,"S LIBERTY ST & MARTIN LUTHER KING JR BD, New Orleans, Louisiana"
h2584519,"S ROMAN ST & 1ST ST, New Orleans, Louisiana"
h2584519,"S ROMAN ST & 1ST ST, New Orleans, Louisiana"
h2593919,"334 ROYAL ST, New Orleans, Louisiana"
h2605019,"3300 LAFITTE ST, New Orleans, Louisiana"
h2605019,"3300 LAFITTE ST, New Orleans, Louisiana"
h2605019,"3300 LAFITTE ST, New Orleans, Louisiana"
h2605019,"3300 LAFITTE ST, New Orleans, Louisiana"
h2605019,"3300 LAFITTE ST, New Orleans, Louisiana"
h2605019,"3300 LAFITTE ST, New Orleans, Louisiana"
h2605019,"3300 LAFITTE ST, New Orleans, Louisiana"
h2605019,"3300 LAFITTE ST, New Orleans, Louisiana"
h2605019,"3300 LAFITTE ST, New Orleans, Louisiana"
h2605019,"3300 LAFITTE ST, New Orleans, Louisiana"
h2605019,"3300 LAFITTE ST, New Orleans, Louisiana"
h2605019,"3300 LAFITTE ST, New Orleans, Louisiana"
h2605019,"3300 LAFITTE ST, New Orleans, Louisiana"
h2605019,"3300 LAFITTE ST, New Orleans, Louisiana"
h2605019,"3300 LAFITTE ST, New Orleans, Louisiana"
h2622819,"2200 MAGIC ST, New Orleans, Louisiana"
h2622819,"2200 MAGIC ST, New Orleans, Louisiana"
h2667819,"SAINT PHILIP ST & MARAIS ST, New Orleans, Louisiana"
h2667819,"SAINT PHILIP ST & MARAIS ST, New Orleans, Louisiana"
h2714919,"8727 APPLE ST, New Orleans, Louisiana"
h2755219,"MARCONI DR & MAGNOLIA DR, New Orleans, Louisiana"
h2755219,"MARCONI DR & MAGNOLIA DR, New Orleans, Louisiana"
h2774919,"LAWRENCE ST & SOUTHLAWN BD, New Orleans, Louisiana"
h2774919,"LAWRENCE ST & SOUTHLAWN BD, New Orleans, Louisiana"
h2780919,"3800 GENERAL DE GAULLE DR, New Orleans, Louisiana"
h2788519,"2600 NEW YORK ST, New Orleans, Louisiana"
h2788519,"2600 NEW YORK ST, New Orleans, Louisiana"
h2788519,"2600 NEW YORK ST, New Orleans, Louisiana"
h2788519,"2600 NEW YORK ST, New Orleans, Louisiana"
h2806319,"603 OLIVIER ST, New Orleans, Louisiana"
h2818319,"S carrollton ST & canal ST, New Orleans, Louisiana"
h2818319,"S carrollton ST & canal ST, New Orleans, Louisiana"
h2834419,"1821 CHIPPEWA ST, New Orleans, Louisiana"
h2940419,"4700 VIOLA ST, New Orleans, Louisiana"
h2990319,"MARTIN LUTHER KING JR BD & S LIBERTY ST, New Orleans, Louisiana"
h2990319,"MARTIN LUTHER KING JR BD & S LIBERTY ST, New Orleans, Louisiana"
h2990319,"MARTIN LUTHER KING JR BD & S LIBERTY ST, New Orleans, Louisiana"
h2990319,"MARTIN LUTHER KING JR BD & S LIBERTY ST, New Orleans, Louisiana"
h2995719,"URQUHART ST & ANNETTE ST, New Orleans, Louisiana"
h2997419,"1900 N VILLERE ST, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3056419,"6711 CHEF MENTEUR HW, New Orleans, Louisiana"
h3063719,"LAW ST & SAINT BERNARD AV, New Orleans, Louisiana"
h3063719,"LAW ST & SAINT BERNARD AV, New Orleans, Louisiana"
h3063719,"LAW ST & SAINT BERNARD AV, New Orleans, Louisiana"
h3213319,"2915 JOSEPHINE ST, New Orleans, Louisiana"
h3213319,"2915 JOSEPHINE ST, New Orleans, Louisiana"
h3213319,"2915 JOSEPHINE ST, New Orleans, Louisiana"
h3227619,"14643 PELTIER DR #33, New Orleans, Louisiana"
h3227619,"14643 PELTIER DR #33, New Orleans, Louisiana"
h3229519,"2239 N GALVEZ ST, New Orleans, Louisiana"
