latitude,longitude,set
29.9576191,-90.0680828,safecam
29.9421393,-90.07077106192017,safecam
29.9538008,-90.0705546,safecam
43.05251845,-76.12249668801458,safecam
29.9529105,-90.0681761,safecam
29.9542693,-90.0686729,safecam
29.95738705,-90.06402800610623,safecam
30.03103615,-89.98071695698849,safecam
29.9537134,-90.0690103,safecam
39.98206446938775,-75.15728065306122,safecam
29.95278675,-90.07257297531152,safecam
34.25576825197217,-88.70662785868231,safecam
29.9547126,-90.0693108,safecam
48.3200344,6.3999362,safecam
30.423567,-97.689221,safecam
43.3023502,5.380346,safecam
29.96682485,-90.08816953389083,safecam
29.91771,-90.105916,safecam
29.9506106,-90.0680165,safecam
29.917138,-90.009404,safecam
29.771413755159145,-95.34554547210568,safecam
29.95185885,-90.06801912206649,safecam
29.9461593,-90.0785093,safecam
30.0362499,-89.99791002622707,safecam
33.8079758,-83.7153897,safecam
30.0194049,-89.96285215737848,safecam
29.9697576,-90.0503049,safecam
29.9531075,-90.0708193,safecam
30.01100305,-90.02065533034815,safecam
29.932443666666668,-90.004459,safecam
30.0121571,-90.0606477,safecam
30.0002541,-90.11940684641546,safecam
30.004195,-90.1075761,safecam
29.94527855,-90.13351145,safecam
30.0039194,-90.1071621,safecam
29.9977831,-90.1093076,safecam
40.68730805,-73.90869365692544,safecam
29.9958734,-90.1094981,safecam
30.02146025,-90.1152042139246,safecam
29.9895327,-90.1080122,safecam
30.0205765,-90.11488484136896,safecam
40.9328308,-72.6833773537849,safecam
30.00427295,-90.10640255272432,safecam
30.248043,-95.447483,safecam
32.45444564436195,-93.78624103457052,safecam
46.259128,-97.456202,safecam
29.9512732,-90.0705154,safecam
38.1463659,-85.6884449,safecam
30.01945,-90.106066,safecam
44.96656,-93.3478393,safecam
18.2624966,-73.5464295,safecam
29.9352034,-90.0761558,safecam
29.9524576,-90.0722032,safecam
29.9577411,-90.0752762,safecam
29.9416206,-90.0680647,safecam
29.9430607,-90.0685903,safecam
30.0260946,-89.97786477067282,safecam
30.027786484848484,-90.01152116161616,safecam
30.0273442,-89.997900991182,safecam
30.04824845,-89.95938649392201,safecam
30.05185415,-89.95352102095843,safecam
30.046518714285718,-89.9815021020408,safecam
30.02103127162043,-89.95916444674012,safecam
