item_number,location
d1053821,"Skyview Dr & Ransom Dr, New Orleans, Louisiana"
d0756521,"Allen St & N Dorgenois St, New Orleans, Louisiana"
k2564221,"015XX Canal St, New Orleans, Louisiana"
k2608221,"004XX Canal St, New Orleans, Louisiana"
k2608221,"004XX Canal St, New Orleans, Louisiana"
k2591121,"087XX Olive St, New Orleans, Louisiana"
k2591121,"087XX Olive St, New Orleans, Louisiana"
k2591121,"087XX Olive St, New Orleans, Louisiana"
k1874321,"Bienville St & Burgundy St, New Orleans, Louisiana"
k1874321,"Bienville St & Burgundy St, New Orleans, Louisiana"
k1874321,"Bienville St & Burgundy St, New Orleans, Louisiana"
k1874321,"Bienville St & Burgundy St, New Orleans, Louisiana"
k1874321,"Bienville St & Burgundy St, New Orleans, Louisiana"
k1874321,"Bienville St & Burgundy St, New Orleans, Louisiana"
k1874321,"Bienville St & Burgundy St, New Orleans, Louisiana"
k1874321,"Bienville St & Burgundy St, New Orleans, Louisiana"
k2506021,"134XX Dwyer Bd, New Orleans, Louisiana"
a2380721,"027XX Marigny St, New Orleans, Louisiana"
a2394521,"007XX Louisiana Av, New Orleans, Louisiana"
a2394521,"007XX Louisiana Av, New Orleans, Louisiana"
a2394521,"007XX Louisiana Av, New Orleans, Louisiana"
a2394521,"007XX Louisiana Av, New Orleans, Louisiana"
a2428421,"034XX Franklin Av, New Orleans, Louisiana"
a2428421,"034XX Franklin Av, New Orleans, Louisiana"
a2446121,"028XX Esplanade Av, New Orleans, Louisiana"
a2444921,"014XX N Villere St, New Orleans, Louisiana"
a2444921,"014XX N Villere St, New Orleans, Louisiana"
a2458021,"024XX Humanity St, New Orleans, Louisiana"
a2458021,"024XX Humanity St, New Orleans, Louisiana"
a2458021,"024XX Humanity St, New Orleans, Louisiana"
a2458021,"024XX Humanity St, New Orleans, Louisiana"
a0424221,"076XX Pineridge St, New Orleans, Louisiana"
a0424221,"076XX Pineridge St, New Orleans, Louisiana"
e0924721,"078XX S Coronet Ct, New Orleans, Louisiana"
e0924721,"078XX S Coronet Ct, New Orleans, Louisiana"
d3343121,"XX Versailles Bd, New Orleans, Louisiana"
d3343121,"XX Versailles Bd, New Orleans, Louisiana"
h2346521,"008XX Bienville St, New Orleans, Louisiana"
h2346521,"008XX Bienville St, New Orleans, Louisiana"
h2346521,"008XX Bienville St, New Orleans, Louisiana"
h2346521,"008XX Bienville St, New Orleans, Louisiana"
h2346521,"008XX Bienville St, New Orleans, Louisiana"
h2346521,"008XX Bienville St, New Orleans, Louisiana"
h0410321,"018XX Rev John Raphael Jr St, New Orleans, Louisiana"
l1361021,"Jena St & Loyola Av, New Orleans, Louisiana"
l1361021,"Jena St & Loyola Av, New Orleans, Louisiana"
l1361021,"Jena St & Loyola Av, New Orleans, Louisiana"
l1361021,"Jena St & Loyola Av, New Orleans, Louisiana"
l1361021,"Jena St & Loyola Av, New Orleans, Louisiana"
l1361021,"Jena St & Loyola Av, New Orleans, Louisiana"
l1361021,"Jena St & Loyola Av, New Orleans, Louisiana"
l1361021,"Jena St & Loyola Av, New Orleans, Louisiana"
l1471121,"010XX N Claiborne Av, New Orleans, Louisiana"
l1431621,"077XX Chef Menteur Rd, New Orleans, Louisiana"
l1431621,"077XX Chef Menteur Rd, New Orleans, Louisiana"
l1431621,"077XX Chef Menteur Rd, New Orleans, Louisiana"
l1431621,"077XX Chef Menteur Rd, New Orleans, Louisiana"
a2668021,"006XX N Claiborne Av, New Orleans, Louisiana"
a2668021,"006XX N Claiborne Av, New Orleans, Louisiana"
a2837621,"Franklin Av & Saint Claude Av, New Orleans, Louisiana"
a2837621,"Franklin Av & Saint Claude Av, New Orleans, Louisiana"
a2830721,"132XX Chef Menteur Hw, New Orleans, Louisiana"
a2271221,"019XX N Broad St, New Orleans, Louisiana"
e1609021,"Dumaine St & Decatur St, New Orleans, Louisiana"
e1609021,"Dumaine St & Decatur St, New Orleans, Louisiana"
e1609021,"Dumaine St & Decatur St, New Orleans, Louisiana"
e1609021,"Dumaine St & Decatur St, New Orleans, Louisiana"
e1609021,"Dumaine St & Decatur St, New Orleans, Louisiana"
e1609021,"Dumaine St & Decatur St, New Orleans, Louisiana"
e1609021,"Dumaine St & Decatur St, New Orleans, Louisiana"
e1609021,"Dumaine St & Decatur St, New Orleans, Louisiana"
e1645821,"019XX N Broad St, New Orleans, Louisiana"
e1645821,"019XX N Broad St, New Orleans, Louisiana"
e1650821,"002XX Bourbon St, New Orleans, Louisiana"
e1650821,"002XX Bourbon St, New Orleans, Louisiana"
e1650821,"002XX Bourbon St, New Orleans, Louisiana"
e1694321,"N Rampart St & Bienville St, New Orleans, Louisiana"
f2567021,"015XX Laharpe St, New Orleans, Louisiana"
f2567021,"015XX Laharpe St, New Orleans, Louisiana"
f2567021,"015XX Laharpe St, New Orleans, Louisiana"
f2567021,"015XX Laharpe St, New Orleans, Louisiana"
h2200621,"Chef Menteur Hw & Sierra Madre Dr, New Orleans, Louisiana"
h2814121,"X Gordon Plaza Dr, New Orleans, Louisiana"
h2814121,"X Gordon Plaza Dr, New Orleans, Louisiana"
h2476121,"007XX Canal St, New Orleans, Louisiana"
