nopd_item,type,typetext,priority,initialtype,initialtypetext,initialpriority,mapx,mapy,timecreate,timedispatch,timearrive,timeclosed,disposition,dispositiontext,selfinitiated,beat,block_address,zip,policedistrict,location,set,latitude,longitude
B3175322,38D,SIMPLE ASSAULT DOMESTIC,2D,103D,DOMESTIC DISTURBANCE,2C,3704952,511826,02/27/2022 02:50:57 PM,02/27/2022 03:14:10 PM,02/27/2022 03:29:31 PM,02/27/2022 04:20:06 PM,RTF,REPORT TO FOLLOW,N,4D05,002XX Cypress Grove Ct,70131,4,POINT (-89.99474327 29.90061177),calls_for_service,,
B3180422,34C,AGGRAVATED BATTERY BY CUTTING,1A,34C,AGGRAVATED BATTERY BY CUTTING,2D,3679203,532715,02/27/2022 03:49:16 PM,02/27/2022 04:01:07 PM,02/27/2022 04:01:22 PM,02/27/2022 07:42:10 PM,GOA,GONE ON ARRIVAL,N,1E02,Iberville St & N Villere St,70112,1,POINT (-90.07527966 29.95885198),calls_for_service,,
B3204322,43,SIMPLE RAPE,2F,42,AGGRAVATED RAPE,2C,37369000,3513814,02/27/2022 08:00:27 PM,,,02/27/2022 09:25:13 PM,RTF,REPORT TO FOLLOW,N,8C02,003XX Royal St,70130,8,POINT (0 0),calls_for_service,,
B3211422,37,AGGRAVATED ASSAULT,2E,21,COMPLAINT OTHER,1J,3675219,522575,02/27/2022 08:46:06 PM,02/27/2022 08:54:26 PM,02/27/2022 08:57:19 PM,02/27/2022 10:03:45 PM,RTF,REPORT TO FOLLOW,N,6Q05,029XX Carondelet St,70115,6,POINT (-90.08820858 29.93108997),calls_for_service,,
B3212522,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3675279,522576,02/27/2022 08:52:11 PM,,,02/27/2022 08:53:03 PM,DUP,DUPLICATE,N,6Q05,Carondelet St & 6th St,70115,6,POINT (-90.08801988 29.93109206),calls_for_service,,
C0118022,37D,AGGRAVATED ASSAULT DOMESTIC,2C,21,COMPLAINT OTHER,1J,3671252,531625,03/02/2022 01:03:50 AM,03/02/2022 01:10:13 AM,03/02/2022 01:16:57 AM,03/02/2022 03:49:49 AM,RTF,REPORT TO FOLLOW,N,6N02,043XX Clio St,70125,6,POINT (-90.10042449 29.95609428),calls_for_service,,
C0123622,34S,AGGRAVATED BATTERY BY SHOOTING,2C,21,COMPLAINT OTHER,1J,3682299,527508,03/02/2022 02:12:04 AM,03/02/2022 02:13:16 AM,03/02/2022 02:14:41 AM,03/02/2022 06:32:21 AM,RTF,REPORT TO FOLLOW,N,8A01,008XX S Peters St,70130,8,POINT (-90.06568556 29.94444085),calls_for_service,,
C0125622,37,AGGRAVATED ASSAULT,2E,94,DISCHARGING FIREARM,2D,3676410,536497,03/02/2022 02:50:19 AM,03/02/2022 02:50:55 AM,03/02/2022 02:51:04 AM,03/02/2022 06:15:20 AM,RTF,REPORT TO FOLLOW,N,1I03,006XX Blk N Broad St,70119,1,POINT (-90.08396825 29.96933467),calls_for_service,,
C0128022,60,AGGRAVATED BURGLARY,2C,60,AGGRAVATED BURGLARY,2C,3677547,525374,03/02/2022 03:27:37 AM,03/02/2022 03:29:09 AM,03/02/2022 03:32:39 AM,03/02/2022 03:43:49 AM,GOA,GONE ON ARRIVAL,N,6G01,018XX Oretha Castle Haley Blvd,70113,6,POINT (-90.08076194 29.93871786),calls_for_service,,
C0130422,34C,AGGRAVATED BATTERY BY CUTTING,2C,103F,FIGHT,2D,3680631,530639,03/02/2022 04:07:13 AM,,,03/02/2022 04:35:37 AM,GOA,GONE ON ARRIVAL,N,8I01,001XX Carondelet St,70112,8,POINT (-90.07084311 29.95310201),calls_for_service,,
C0132522,64J,CARJACKING,2C,65J,CARJACKING- NO WEAPON,2C,3685496,556872,03/02/2022 04:37:45 AM,03/02/2022 04:40:33 AM,03/02/2022 04:45:11 AM,03/02/2022 05:14:26 AM,DUP,DUPLICATE,N,3S07,064XX Arts St,70122,3,POINT (-90.05455587 30.02508303),calls_for_service,,
C0141922,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3683871,536209,03/02/2022 07:56:20 AM,03/02/2022 07:59:12 AM,03/02/2022 08:12:22 AM,03/02/2022 08:25:41 AM,GOA,GONE ON ARRIVAL,N,5A01,Mcshane Pl & Henriette Delille St,70116,5,POINT (-90.0604168 29.96831669),calls_for_service,,
C1022122,37,AGGRAVATED ASSAULT,2E,94,DISCHARGING FIREARM,2D,3696659,553178,03/10/2022 02:44:45 AM,03/10/2022 02:45:56 AM,03/10/2022 02:54:54 AM,03/10/2022 03:07:18 AM,GOA,GONE ON ARRIVAL,N,7C03,060XX Beechcraft St,70126,7,POINT (-90.01941802 30.01457885),calls_for_service,,
C0160622,37,AGGRAVATED ASSAULT,1A,37,AGGRAVATED ASSAULT,2E,3708275,518735,03/02/2022 11:18:00 AM,03/02/2022 01:48:05 PM,03/02/2022 01:52:13 PM,03/02/2022 04:54:41 PM,RTF,REPORT TO FOLLOW,N,4E04,031XX Dickens Dr,70131,4,POINT (-89.98399967 29.91950233),calls_for_service,,
C0174822,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3698784,532525,03/02/2022 01:27:27 PM,,03/02/2022 01:33:44 PM,03/02/2022 03:25:28 PM,RTF,REPORT TO FOLLOW,N,5E04,008XX Blk Gordon St,70117,5,POINT (-90.01345563 29.95772379),calls_for_service,,
C0175222,34S,AGGRAVATED BATTERY BY SHOOTING,2C,20I,AUTO ACCIDENT WITH INJURY,2D,3698373,533739,03/02/2022 01:31:50 PM,,,03/02/2022 01:44:32 PM,DUP,DUPLICATE,N,5E03,Saint Claude Ave & Lamanche St,70117,5,POINT (-90.01470888 29.96107445),calls_for_service,,
C0175322,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3698544,533752,03/02/2022 01:32:10 PM,,03/02/2022 01:37:00 PM,03/02/2022 03:37:05 PM,DUP,DUPLICATE,N,5E03,057XX Saint Claude Ave,70117,5,POINT (-90.01416853 29.96110613),calls_for_service,,
C0189722,42,AGGRAVATED RAPE,2C,35D,SIMPLE BATTERY DOMESTIC,2C,37369000,3513814,03/02/2022 03:41:39 PM,03/02/2022 07:20:08 PM,03/02/2022 07:20:14 PM,03/02/2022 08:46:10 PM,RTF,REPORT TO FOLLOW,N,7K04,007XX Blk Shorewood Blvd,70128,7,POINT (0 0),calls_for_service,,
C0208022,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3705551,559638,03/02/2022 06:37:29 PM,03/02/2022 06:39:03 PM,03/02/2022 06:47:13 PM,03/02/2022 07:57:35 PM,RTF,REPORT TO FOLLOW,N,7O09,085XX N I-10 Service Rd,70127,7,POINT (-89.991084 30.03205978),calls_for_service,,
C0214522,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3669014,536966,03/02/2022 07:58:55 PM,03/02/2022 08:01:00 PM,03/02/2022 08:07:09 PM,03/02/2022 10:36:21 PM,RTF,REPORT TO FOLLOW,N,3D01,042XX Blk Ulloa St,70119,3,POINT (-90.10731009 29.97084399),calls_for_service,,
C0215822,64J,CARJACKING,1A,64J,CARJACKING,2C,3683249,556029,03/02/2022 08:18:25 PM,03/02/2022 08:31:45 PM,03/02/2022 08:45:46 PM,03/02/2022 10:36:00 PM,RTF,REPORT TO FOLLOW,N,3S01,062XX Elysian Fields Ave,70122,3,POINT (-90.06168871 30.02283495),calls_for_service,,
C1846922,34C,AGGRAVATED BATTERY BY CUTTING,2D,35,SIMPLE BATTERY,1F,3696406,520418,03/17/2022 07:14:29 AM,03/17/2022 07:17:56 AM,03/17/2022 07:23:31 AM,03/17/2022 12:37:08 PM,RTF,REPORT TO FOLLOW,N,4C02,036XX General De Gaulle Dr,70114,4,POINT (-90.02140358 29.92450935),calls_for_service,,
C0225822,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3677453,527353,03/02/2022 10:26:57 PM,,,03/02/2022 11:21:08 PM,GOA,GONE ON ARRIVAL,N,6H04,013XX Simon Bolivar Ave,70113,6,POINT (-90.08099121 29.9441617),calls_for_service,,
A1859522,34C,AGGRAVATED BATTERY BY CUTTING,2D,37,AGGRAVATED ASSAULT,2E,3685450,539766,01/17/2022 01:45:04 PM,01/17/2022 03:29:12 PM,01/17/2022 03:29:17 PM,01/17/2022 09:14:38 PM,RTF,REPORT TO FOLLOW,N,5G01,020XX Mandeville St,70117,5,POINT (-90.05530441 29.97804938),calls_for_service,,
B2496222,38D,SIMPLE ASSAULT DOMESTIC,2D,66,EXTORTION (THREATS),1H,3674245,524967,02/21/2022 03:03:19 PM,02/22/2022 05:30:03 AM,02/22/2022 05:34:29 AM,02/22/2022 06:30:12 AM,RTF,REPORT TO FOLLOW,N,6F05,024XX Washington Ave,70115,6,POINT (-90.09120289 29.93769545),calls_for_service,,
