nopd_item,type,typetext,priority,initialtype,initialtypetext,initialpriority,mapx,mapy,timecreate,timedispatch,timearrive,timeclosed,disposition,dispositiontext,selfinitiated,beat,block_address,zip,policedistrict,location,set,latitude,longitude
A1779222,64J,CARJACKING,2C,64J,CARJACKING,2C,3685909,539158,01/16/2022 06:52:07 PM,01/16/2022 06:54:56 PM,01/16/2022 07:08:38 PM,01/16/2022 08:38:51 PM,RTF,REPORT TO FOLLOW,N,5G01,018XX Blk Spain St,70117,5,POINT (-90.05387698 29.97636323),calls_for_service,,
A1782822,37,AGGRAVATED ASSAULT,1A,67F,THEFT BY FRAUD,1D,3712091,555707,01/16/2022 07:34:23 PM,01/18/2022 09:37:16 AM,01/18/2022 09:44:13 AM,01/18/2022 09:51:55 AM,GOA,GONE ON ARRIVAL,N,7J02,046XX Lurline St,70127,7,POINT (-89.97056454 30.02103764),calls_for_service,,
A1786422,64J,CARJACKING,2C,65J,CARJACKING- NO WEAPON,2C,3694238,559797,01/16/2022 08:14:51 PM,01/16/2022 08:15:46 PM,01/16/2022 08:29:51 PM,01/16/2022 10:46:40 PM,RTF,REPORT TO FOLLOW,N,7D02,Downman Rd & Hayne Blvd,70126,7,POINT (-90.02682927 30.03285442),calls_for_service,,
A1875622,37D,AGGRAVATED ASSAULT DOMESTIC,2C,37D,AGGRAVATED ASSAULT DOMESTIC,2C,3695858,524468,01/17/2022 04:46:22 PM,,01/17/2022 04:46:22 PM,01/17/2022 08:43:15 PM,RTF,REPORT TO FOLLOW,Y,4I04,018XX Odeon Ave,70114,4,POINT (-90.02298594 29.9356614),calls_for_service,,
A1900022,64G,ARMED ROBBERY WITH GUN,2C,67A,AUTO THEFT,1D,3725155,562706,01/17/2022 09:23:50 PM,01/18/2022 09:15:10 AM,01/18/2022 09:17:15 AM,01/18/2022 11:54:33 AM,RTF,REPORT TO FOLLOW,N,7L02,134XX N Nemours St,70129,7,POINT (-89.92901712 30.03984727),calls_for_service,,
A1906522,64G,ARMED ROBBERY WITH GUN,2C,64J,CARJACKING,2C,3661271,528004,01/17/2022 11:17:09 PM,,01/17/2022 11:23:50 PM,01/18/2022 12:21:41 AM,RTF,REPORT TO FOLLOW,N,2H01,081XX Freret St,70118,2,POINT (-90.13206217 29.94642875),calls_for_service,,
A1914722,64G,ARMED ROBBERY WITH GUN,2C,64G,ARMED ROBBERY WITH GUN,2C,3677604,523801,01/18/2022 01:32:26 AM,01/18/2022 01:34:47 AM,01/18/2022 01:34:54 AM,01/18/2022 04:26:47 AM,RTF,REPORT TO FOLLOW,N,6G01,021XX Saint Charles Ave,70130,6,POINT (-90.08063779 29.93439031),calls_for_service,,
A1918422,34S,AGGRAVATED BATTERY BY SHOOTING,2C,NOPD,INCIDENT REQUESTED BY ANOTHER AGENCY,2A,3726115,574848,01/18/2022 02:39:41 AM,01/18/2022 02:46:22 AM,01/18/2022 02:54:11 AM,01/18/2022 05:20:10 AM,RTF,REPORT TO FOLLOW,N,7L05,I-10 E & Michoud Blvd Exit,70129,7,POINT (-89.92551258 30.0732017),calls_for_service,,
A1799722,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3670203,520157,01/16/2022 11:49:27 PM,01/16/2022 11:54:01 PM,01/16/2022 11:56:18 PM,01/17/2022 01:37:45 AM,RTF,REPORT TO FOLLOW,N,2F04,013XX Cadiz St,70115,2,POINT (-90.10412677 29.92459187),calls_for_service,,
A1800322,34D,AGGRAVATED BATTERY DOMESTIC,2C,34D,AGGRAVATED BATTERY DOMESTIC,2C,3708318,564722,01/16/2022 11:55:24 PM,01/16/2022 11:57:58 PM,01/17/2022 12:03:10 AM,01/17/2022 12:13:29 AM,GOA,GONE ON ARRIVAL,N,7P07,077XX Read Blvd,70127,7,POINT (-89.98215255 30.04594795),calls_for_service,,
A1820322,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3710678,558616,01/17/2022 05:38:08 AM,,,01/17/2022 05:41:18 AM,DUP,DUPLICATE,N,7R08,056XX Read Blvd,70127,7,POINT (-89.97492279 30.02908336),calls_for_service,,
A1821322,37D,AGGRAVATED ASSAULT DOMESTIC,1A,37,AGGRAVATED ASSAULT,2E,3699143,555944,01/17/2022 05:56:57 AM,01/17/2022 07:54:53 AM,01/17/2022 08:06:35 AM,01/17/2022 08:19:18 AM,GOA,GONE ON ARRIVAL,N,7Q01,066XX Harbourview Dr,70126,7,POINT (-90.01146966 30.02210743),calls_for_service,,
A0006122,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3673396,521979,01/01/2022 12:32:29 AM,01/01/2022 12:33:38 AM,01/01/2022 12:41:05 AM,01/01/2022 05:08:18 AM,RTF,REPORT TO FOLLOW,N,6Q02,035XX Baronne St,70115,6,POINT (-90.09398497 29.92950735),calls_for_service,,
A0015622,34D,AGGRAVATED BATTERY DOMESTIC,2C,34D,AGGRAVATED BATTERY DOMESTIC,2C,3692965,543310,01/01/2022 01:40:50 AM,,,01/01/2022 01:42:22 AM,DUP,DUPLICATE,N,5Q02,030XX Edith Weston Pl,70126,5,POINT (-90.03144388 29.98756205),calls_for_service,,
A0016222,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3682364,534002,01/01/2022 01:44:13 AM,01/01/2022 01:48:00 AM,,01/01/2022 02:00:16 AM,GOA,GONE ON ARRIVAL,N,8E01,Saint Philip St & Burgundy St,70116,8,POINT (-90.0652544 29.96229657),calls_for_service,,
A0016522,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3669719,520956,01/01/2022 01:47:00 AM,01/01/2022 01:48:49 AM,01/01/2022 01:53:43 AM,01/01/2022 02:51:49 AM,RTF,REPORT TO FOLLOW,N,2I02,016XX Blk Valence St,70115,2,POINT (-90.10562547 29.9268015),calls_for_service,,
A0018122,60,AGGRAVATED BURGLARY,2C,60,AGGRAVATED BURGLARY,2C,3681603,533430,01/01/2022 02:00:07 AM,01/01/2022 02:01:12 AM,01/01/2022 02:02:34 AM,01/01/2022 06:17:55 AM,RTF,REPORT TO FOLLOW,N,8E01,010XX Orleans Ave,70116,8,POINT (-90.06767757 29.96074633),calls_for_service,,
A0021222,64J,CARJACKING,2C,64J,CARJACKING,2C,3691437,527802,01/01/2022 02:26:58 AM,01/01/2022 02:28:22 AM,01/01/2022 02:35:57 AM,01/01/2022 03:31:29 AM,UNF,UNFOUNDED,N,4B05,General Meyer Ave & Newton St,70114,4,POINT (-90.0368243 29.94496815),calls_for_service,,
A0572222,37,AGGRAVATED ASSAULT,2E,34C,AGGRAVATED BATTERY BY CUTTING,2D,3681127,532438,01/06/2022 12:12:34 AM,01/06/2022 12:13:35 AM,01/06/2022 12:15:12 AM,01/06/2022 04:21:58 AM,RTF,REPORT TO FOLLOW,N,8D03,004XX Burgundy St,70112,8,POINT (-90.06921391 29.95803367),calls_for_service,,
A0031922,34C,AGGRAVATED BATTERY BY CUTTING,2D,34C,AGGRAVATED BATTERY BY CUTTING,2D,3681664,531299,01/01/2022 04:44:29 AM,,,01/01/2022 04:46:25 AM,DUP,DUPLICATE,N,8C02,Royal St & Bienville St,70130,8,POINT (-90.06755962 29.95488494),calls_for_service,,
A0036422,42,AGGRAVATED RAPE,2C,42,AGGRAVATED RAPE,2C,37369000,3513814,01/01/2022 06:26:05 AM,01/01/2022 07:36:15 AM,01/01/2022 07:50:37 AM,01/01/2022 08:09:01 AM,GOA,GONE ON ARRIVAL,N,2A05,001XX Audubon St,70118,2,POINT (0 0),calls_for_service,,
A0046822,64,ARMED ROBBERY,2C,64,ARMED ROBBERY,2C,3682877,535288,01/01/2022 09:30:47 AM,01/01/2022 09:31:47 AM,01/01/2022 09:37:03 AM,01/01/2022 09:49:40 AM,GOA,GONE ON ARRIVAL,N,8E02,N Rampart St & Esplanade Ave,70116,8,POINT (-90.06358926 29.96581688),calls_for_service,,
A0574322,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3693228,541751,01/06/2022 12:32:14 AM,01/06/2022 12:33:24 AM,01/06/2022 12:37:39 AM,01/06/2022 05:35:29 AM,RTF,REPORT TO FOLLOW,N,5Q02,Alvar St & Florida Ave,70126,5,POINT (-90.03066933 29.98326809),calls_for_service,,
A0054222,43,SIMPLE RAPE,2F,42,AGGRAVATED RAPE,2C,37369000,3513814,01/01/2022 11:03:37 AM,01/01/2022 11:04:15 AM,01/01/2022 11:09:48 AM,01/01/2022 01:37:46 PM,RTF,REPORT TO FOLLOW,N,2M06,001XX Audubon Blvd,70118,2,POINT (0 0),calls_for_service,,
A0056722,64,ARMED ROBBERY,1A,64,ARMED ROBBERY,2C,3685247,536285,01/01/2022 11:32:07 AM,01/01/2022 08:14:59 PM,01/01/2022 08:24:26 PM,01/01/2022 09:19:03 PM,GOA,GONE ON ARRIVAL,N,5B01,022XX Saint Claude Ave,70117,5,POINT (-90.05606857 29.96848511),calls_for_service,,
A0073522,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3683964,555051,01/01/2022 02:37:18 PM,01/01/2022 03:27:43 PM,01/01/2022 03:53:06 PM,01/01/2022 04:02:38 PM,GOA,GONE ON ARRIVAL,N,3R03,060XX Marigny St,70122,3,POINT (-90.05946185 30.02012377),calls_for_service,,
A0577922,64J,CARJACKING,2C,65J,CARJACKING- NO WEAPON,2C,3684316,539918,01/06/2022 01:28:08 AM,01/06/2022 01:28:53 AM,01/06/2022 01:32:25 AM,01/06/2022 04:54:42 AM,RTF,REPORT TO FOLLOW,N,5A03,021XX N Galvez St,70116,5,POINT (-90.05888051 29.97850287),calls_for_service,,
A0075322,64,ARMED ROBBERY,2C,64,ARMED ROBBERY,2C,3681339,530611,01/01/2022 03:03:57 PM,,,01/01/2022 03:07:44 PM,DUP,DUPLICATE,N,8C01,Canal St & Exchange Pl,70130,8,POINT (-90.06860739 29.95300297),calls_for_service,,
A0076722,64G,ARMED ROBBERY WITH GUN,2C,64J,CARJACKING,2C,3690075,535274,01/01/2022 03:20:56 PM,01/01/2022 03:38:28 PM,01/01/2022 03:48:06 PM,01/01/2022 08:09:52 PM,RTF,REPORT TO FOLLOW,N,5D02,Desire St & N Rampart St,70117,5,POINT (-90.04085937 29.96555693),calls_for_service,,
A0089522,64J,CARJACKING,2C,64J,CARJACKING,2C,3676034,539375,01/01/2022 05:38:23 PM,01/01/2022 05:39:01 PM,01/01/2022 05:46:14 PM,01/01/2022 08:18:39 PM,RTF,REPORT TO FOLLOW,N,1N03,031XX Blk Ursulines Ave,70119,1,POINT (-90.08505858 29.97726085),calls_for_service,,
A0094622,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3696318,522693,01/01/2022 06:33:05 PM,01/01/2022 06:39:01 PM,01/01/2022 06:45:09 PM,01/01/2022 06:48:59 PM,GOA,GONE ON ARRIVAL,N,4J01,035XX Vespasian Blvd,70114,4,POINT (-90.02159776 29.93076722),calls_for_service,,
A0147622,60,AGGRAVATED BURGLARY,2C,35,SIMPLE BATTERY,1F,3683111,540670,01/02/2022 07:55:07 AM,01/02/2022 08:09:15 AM,01/02/2022 08:11:36 AM,01/02/2022 09:58:51 AM,RTF,REPORT TO FOLLOW,N,5K02,023XX Saint Anthony St,70119,5,POINT (-90.06265996 29.98060819),calls_for_service,,
A0099122,37,AGGRAVATED ASSAULT,2E,103,DISTURBANCE (OTHER),1C,3686723,535057,01/01/2022 07:26:34 PM,01/01/2022 08:50:49 PM,01/01/2022 08:53:58 PM,01/01/2022 10:43:06 PM,RTF,REPORT TO FOLLOW,N,5B01,007XX Franklin Ave,70117,5,POINT (-90.05145238 29.96506261),calls_for_service,,
A0099522,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3694732,524578,01/01/2022 07:30:59 PM,,,01/01/2022 07:33:34 PM,DUP,DUPLICATE,N,4I04,017XX Elizardi Blvd,70114,4,POINT (-90.02653639 29.93600087),calls_for_service,,
A0071822,30S,HOMICIDE BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3686306,534245,01/01/2022 02:14:45 PM,01/01/2022 02:17:29 PM,01/01/2022 02:18:42 PM,01/02/2022 01:33:19 AM,RTF,REPORT TO FOLLOW,N,5B01,Decatur St & Spain St,70117,5,POINT (-90.05279727 29.96284283),calls_for_service,,
A0090222,64K,ARMED ROBBERY WITH KNIFE,2C,64,ARMED ROBBERY,2C,3685074,535947,01/01/2022 05:43:38 PM,01/02/2022 03:20:23 AM,01/02/2022 03:30:58 AM,01/02/2022 03:57:39 AM,RTF,REPORT TO FOLLOW,N,5B01,Elysian Fields Ave & N Rampart St,70117,5,POINT (-90.05662642 29.96756012),calls_for_service,,
A0113422,60,AGGRAVATED BURGLARY,1A,60,AGGRAVATED BURGLARY,2C,3682101,539644,01/01/2022 10:16:58 PM,01/02/2022 03:33:45 AM,01/02/2022 03:42:34 AM,01/02/2022 03:46:55 AM,GOA,GONE ON ARRIVAL,N,5A02,019XX O'Reilly St,70116,5,POINT (-90.06588804 29.97781637),calls_for_service,,
A0115322,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3691086,526135,01/01/2022 10:39:00 PM,01/01/2022 10:39:49 PM,01/01/2022 10:42:56 PM,01/02/2022 04:59:22 AM,RTF,REPORT TO FOLLOW,N,4B05,014XX Sumner St,70114,4,POINT (-90.03799274 29.94039429),calls_for_service,,
A0118122,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3685128,538595,01/01/2022 11:31:24 PM,01/01/2022 11:32:14 PM,01/01/2022 11:35:11 PM,01/02/2022 02:06:08 AM,RTF,REPORT TO FOLLOW,N,5G01,022XX N Derbigny St,70117,5,POINT (-90.05636322 29.97483933),calls_for_service,,
A0118422,64G,ARMED ROBBERY WITH GUN,1A,64G,ARMED ROBBERY WITH GUN,2C,3689904,522546,01/01/2022 11:37:04 PM,01/01/2022 11:39:45 PM,01/01/2022 11:40:05 PM,01/02/2022 02:43:01 AM,UNF,UNFOUNDED,N,4A04,General De Gaulle Dr & L B Landry Ave,70114,4,POINT (-90.04185075 29.9305624),calls_for_service,,
A0129722,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3662240,528727,01/02/2022 02:25:10 AM,01/02/2022 02:30:46 AM,01/02/2022 02:37:11 AM,01/02/2022 06:37:11 AM,RTF,REPORT TO FOLLOW,N,2K01,013XX S Carrollton Ave,70118,2,POINT (-90.12897711 29.94838845),calls_for_service,,
A0145222,42,AGGRAVATED RAPE,2C,42,AGGRAVATED RAPE,2C,37369000,3513814,01/02/2022 07:19:51 AM,01/02/2022 07:26:59 AM,01/02/2022 07:30:03 AM,01/02/2022 07:39:25 AM,GOA,GONE ON ARRIVAL,N,8D04,008XX Conti St,70112,8,POINT (0 0),calls_for_service,,
A0147522,44,AGGRAVATED KIDNAPPING,2C,44,AGGRAVATED KIDNAPPING,2C,3679563,520589,01/02/2022 07:55:07 AM,,,01/02/2022 07:56:23 AM,DUP,DUPLICATE,N,6A02,006XX Philip St,70130,6,POINT (-90.07456274 29.92549792),calls_for_service,,
A0151722,60,AGGRAVATED BURGLARY,2C,60,AGGRAVATED BURGLARY,2C,3683111,540670,01/02/2022 09:03:57 AM,,,01/02/2022 09:06:47 AM,DUP,DUPLICATE,N,5K02,023XX Saint Anthony St,70119,5,POINT (-90.06265996 29.98060819),calls_for_service,,
A0162222,42,AGGRAVATED RAPE,2C,42,AGGRAVATED RAPE,2C,37369000,3513814,01/02/2022 10:53:11 AM,,,01/02/2022 10:54:10 AM,DUP,DUPLICATE,N,5L01,022XX N Miro St,70117,5,POINT (0 0),calls_for_service,,
A0176522,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3698401,557016,01/02/2022 01:38:15 PM,01/02/2022 01:43:07 PM,01/02/2022 01:48:36 PM,01/02/2022 04:05:00 PM,RTF,REPORT TO FOLLOW,N,7D04,065XX Blk I-10 Service Rd,70126,7,POINT (-90.01377394 30.02507845),calls_for_service,,
A0176722,60,AGGRAVATED BURGLARY,2C,60,AGGRAVATED BURGLARY,2C,3687593,526959,01/02/2022 01:39:43 PM,01/02/2022 01:43:08 PM,01/02/2022 01:47:33 PM,01/02/2022 02:14:32 PM,UNF,UNFOUNDED,N,4A02,X Belleville Ct,70114,4,POINT (-90.04899047 29.94277021),calls_for_service,,
A0184622,42,AGGRAVATED RAPE,2C,42,AGGRAVATED RAPE,2C,37369000,3513814,01/02/2022 03:18:29 PM,01/02/2022 03:44:51 PM,01/02/2022 03:50:06 PM,01/02/2022 04:30:55 PM,DUP,DUPLICATE,N,4C02,035XX Garden Oaks Dr,70114,4,POINT (0 0),calls_for_service,,
A0189322,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3680237,532428,01/02/2022 04:10:23 PM,01/02/2022 04:12:11 PM,01/02/2022 04:12:34 PM,01/02/2022 04:49:41 PM,GOA,GONE ON ARRIVAL,N,1E01,012XX Bienville St,70112,1,POINT (-90.07202376 29.95803273),calls_for_service,,
A0263422,30S,HOMICIDE BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3725950,571717,01/03/2022 09:43:36 AM,01/03/2022 09:45:20 AM,01/03/2022 09:49:15 AM,01/03/2022 01:30:41 PM,RTF,REPORT TO FOLLOW,N,7L06,141XX Michoud Blvd,70129,7,POINT (-89.92615548 30.06459862),calls_for_service,,
A0190822,64,ARMED ROBBERY,2C,64,ARMED ROBBERY,2C,3679771,527315,01/02/2022 04:40:59 PM,,,01/02/2022 04:47:33 PM,DUP,DUPLICATE,N,6G04,Carondelet St & Howard Ave,70113,6,POINT (-90.07367416 29.94398846),calls_for_service,,
A0196822,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3681672,540993,01/02/2022 05:48:06 PM,01/02/2022 05:50:14 PM,01/02/2022 05:57:35 PM,01/02/2022 07:04:12 PM,RTF,REPORT TO FOLLOW,N,5K02,024XX A P Tureaud Ave,70119,5,POINT (-90.06719395 29.98153961),calls_for_service,,
A0198422,34S,AGGRAVATED BATTERY BY SHOOTING,2C,34S,AGGRAVATED BATTERY BY SHOOTING,2C,3694722,524330,01/02/2022 06:08:06 PM,01/02/2022 06:11:41 PM,01/02/2022 06:17:14 PM,01/02/2022 10:36:48 PM,RTF,REPORT TO FOLLOW,N,4I04,017XX Elizardi Blvd,70114,4,POINT (-90.02657605 29.93531954),calls_for_service,,
A0578822,43,SIMPLE RAPE,2F,42,AGGRAVATED RAPE,2C,37369000,3513814,01/06/2022 01:41:37 AM,01/06/2022 01:42:40 AM,01/06/2022 01:48:45 AM,01/06/2022 05:48:28 AM,RTF,REPORT TO FOLLOW,N,2I02,016XX Blk Robert St,70115,2,POINT (0 0),calls_for_service,,
A0320822,64J,CARJACKING,2C,64J,CARJACKING,2C,3664028,532144,01/03/2022 07:06:00 PM,01/03/2022 07:06:29 PM,01/03/2022 07:10:54 PM,01/03/2022 11:31:55 PM,RTF,REPORT TO FOLLOW,N,2K04,083XX S Claiborne Ave,70118,2,POINT (-90.1232171 29.9577304),calls_for_service,,
A0325022,34D,AGGRAVATED BATTERY DOMESTIC,1A,911,SILENT 911 CALL,2F,3681052,542309,01/03/2022 07:57:08 PM,01/03/2022 09:22:10 PM,01/04/2022 08:58:35 AM,01/04/2022 10:21:36 AM,RTF,REPORT TO FOLLOW,N,5K04,027XX George Nick Connor Dr,70119,5,POINT (-90.06910781 29.98517773),calls_for_service,,
A0333122,64G,ARMED ROBBERY WITH GUN,2C,64G,ARMED ROBBERY WITH GUN,2C,3705519,514615,01/03/2022 09:37:59 PM,01/03/2022 09:39:23 PM,01/03/2022 09:43:33 PM,01/04/2022 07:54:08 PM,RTF,REPORT TO FOLLOW,N,4E01,043XX Woodland Dr,70131,4,POINT (-89.9928495 29.90826259),calls_for_service,,
A0354922,64J,CARJACKING,2C,64,ARMED ROBBERY,2C,3706867,514025,01/04/2022 03:52:40 AM,01/04/2022 03:54:31 AM,01/04/2022 03:58:07 AM,01/04/2022 06:06:56 AM,RTF,REPORT TO FOLLOW,N,4E01,061XX Tullis Dr,70131,4,POINT (-89.98861728 29.90659849),calls_for_service,,
A0377722,34D,AGGRAVATED BATTERY DOMESTIC,2C,35D,SIMPLE BATTERY DOMESTIC,2C,3686690,539100,01/04/2022 09:13:29 AM,01/04/2022 09:18:36 AM,01/04/2022 09:30:13 AM,01/04/2022 10:14:11 AM,RTF,REPORT TO FOLLOW,N,5G02,018XX Music St,70117,5,POINT (-90.05141199 29.97618088),calls_for_service,,
A0381822,42,AGGRAVATED RAPE,1A,35,SIMPLE BATTERY,1F,37369000,3513814,01/04/2022 09:54:01 AM,01/04/2022 09:55:59 AM,01/04/2022 10:06:50 AM,01/04/2022 10:17:42 AM,GOA,GONE ON ARRIVAL,N,2T02,031XX Joliet St,70118,2,POINT (0 0),calls_for_service,,
A0581822,42,AGGRAVATED RAPE,2C,42,AGGRAVATED RAPE,2C,37369000,3513814,01/06/2022 02:22:31 AM,01/06/2022 02:24:59 AM,01/06/2022 02:41:12 AM,01/06/2022 03:06:59 AM,GOA,GONE ON ARRIVAL,N,7C03,044XX Shalimar Dr,70126,7,POINT (0 0),calls_for_service,,
A0390222,37,AGGRAVATED ASSAULT,1A,37,AGGRAVATED ASSAULT,2E,3681570,540343,01/04/2022 11:18:14 AM,01/04/2022 05:35:34 PM,,01/04/2022 05:35:46 PM,NAT,Necessary Action Taken,N,5K04,022XX A P Tureaud Ave,70119,5,POINT (-90.06753945 29.97975399),calls_for_service,,
A0391622,34D,AGGRAVATED BATTERY DOMESTIC,2C,34D,AGGRAVATED BATTERY DOMESTIC,2C,3680627,530461,01/04/2022 11:31:36 AM,01/04/2022 11:33:06 AM,01/04/2022 11:38:24 AM,01/04/2022 11:57:47 AM,UNF,UNFOUNDED,N,8I01,002XX Carondelet St,70130,8,POINT (-90.07086294 29.95261056),calls_for_service,,
A0395322,42,AGGRAVATED RAPE,2C,42,AGGRAVATED RAPE,2C,37369000,3513814,01/04/2022 11:59:22 AM,01/04/2022 12:01:26 PM,01/04/2022 12:14:27 PM,01/04/2022 05:33:09 PM,RTF,REPORT TO FOLLOW,N,4A04,001XX Blk L B Landry Ave,70114,4,POINT (0 0),calls_for_service,,
A0583222,42,AGGRAVATED RAPE,2C,42,AGGRAVATED RAPE,2C,37369000,3513814,01/06/2022 02:38:19 AM,01/06/2022 02:40:28 AM,01/06/2022 02:45:07 AM,01/06/2022 02:53:29 AM,GOA,GONE ON ARRIVAL,N,5G01,016XX Elysian Fields Ave,70117,5,POINT (0 0),calls_for_service,,
A0408822,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3691909,552216,01/04/2022 02:02:50 PM,01/04/2022 03:16:29 PM,01/04/2022 03:28:42 PM,01/04/2022 04:13:02 PM,GOA,GONE ON ARRIVAL,N,3U03,049XX Gallier Dr,70126,3,POINT (-90.0344609 30.01208241),calls_for_service,,
A0409422,64G,ARMED ROBBERY WITH GUN,1A,64,ARMED ROBBERY,2C,3675433,537798,01/04/2022 02:08:22 PM,,01/04/2022 05:17:21 PM,01/04/2022 07:33:20 PM,RTF,REPORT TO FOLLOW,N,1M05,007XX N Salcedo St,70119,1,POINT (-90.08701157 29.97294148),calls_for_service,,
A0413522,37,AGGRAVATED ASSAULT,1A,37,AGGRAVATED ASSAULT,2E,3684549,540487,01/04/2022 03:06:42 PM,01/04/2022 04:40:26 PM,01/04/2022 04:54:15 PM,01/04/2022 05:04:24 PM,GOA,GONE ON ARRIVAL,N,5K01,I-10 E & Elysian Fields Ave,70119,5,POINT (-90.05812565 29.98006053),calls_for_service,,
A0422222,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3676971,527659,01/04/2022 04:34:04 PM,01/04/2022 04:39:19 PM,01/04/2022 04:42:01 PM,01/04/2022 06:21:31 PM,RTF,REPORT TO FOLLOW,N,6H04,Reverend John Raphael Jr Way & Erato St,70113,6,POINT (-90.08250246 29.94501673),calls_for_service,,
A0434322,64G,ARMED ROBBERY WITH GUN,2C,64G,ARMED ROBBERY WITH GUN,2C,3696814,533555,01/04/2022 06:32:58 PM,01/04/2022 06:36:06 PM,01/04/2022 06:59:52 PM,01/04/2022 07:23:23 PM,GOA,GONE ON ARRIVAL,N,5E01,053XX N Rampart St,70117,5,POINT (-90.01963807 29.96061967),calls_for_service,,
A0104322,37,AGGRAVATED ASSAULT,2E,37,AGGRAVATED ASSAULT,2E,3686730,535086,01/01/2022 08:21:38 PM,,,01/01/2022 08:22:53 PM,DUP,DUPLICATE,N,5B01,007XX Franklin Ave,70117,5,POINT (-90.05142934 29.96514209),calls_for_service,,
A0190922,64J,CARJACKING,2C,64J,CARJACKING,2C,3679657,527135,01/02/2022 04:41:37 PM,01/02/2022 04:43:31 PM,01/02/2022 04:44:42 PM,01/02/2022 08:07:46 PM,RTF,REPORT TO FOLLOW,N,6G04,010XX Blk Carondelet St,70113,6,POINT (-90.07403902 29.94349441),calls_for_service,,
A0192022,64J,CARJACKING,2C,64J,CARJACKING,2C,3671819,541672,01/02/2022 04:53:19 PM,01/02/2022 04:55:22 PM,01/02/2022 05:06:33 PM,01/02/2022 11:30:40 PM,RTF,REPORT TO FOLLOW,N,3I06,City Park Ave & Anseman Ave,70119,3,POINT (-90.09829296 29.98370168),calls_for_service,,
A0108522,64G,ARMED ROBBERY WITH GUN,2C,64G,ARMED ROBBERY WITH GUN,2C,37369000,3513814,01/01/2022 09:15:02 PM,01/01/2022 09:15:45 PM,01/01/2022 09:23:49 PM,01/01/2022 11:24:30 PM,RTF,REPORT TO FOLLOW,N,JEFF,063XX Blk Camp St,None,0,POINT (0 0),calls_for_service,,
A0196622,64J,CARJACKING,2C,64J,CARJACKING,2C,3682186,535902,01/02/2022 05:45:10 PM,01/02/2022 05:48:31 PM,01/02/2022 05:52:39 PM,01/02/2022 07:26:40 PM,RTF,REPORT TO FOLLOW,N,1A01,014XX Marais St,70116,1,POINT (-90.06574931 29.96752629),calls_for_service,,
A0109922,64G,ARMED ROBBERY WITH GUN,2C,67A,AUTO THEFT,1D,3669602,537508,01/01/2022 09:32:37 PM,01/01/2022 09:40:34 PM,01/01/2022 09:49:43 PM,01/01/2022 11:59:31 PM,RTF,REPORT TO FOLLOW,N,3D02,004XX S Solomon St,70119,3,POINT (-90.10543626 29.97231833),calls_for_service,,
A0205522,37,AGGRAVATED ASSAULT,2E,35,SIMPLE BATTERY,1F,3693544,538017,01/02/2022 07:13:53 PM,01/03/2022 01:27:17 AM,01/03/2022 01:27:24 AM,01/03/2022 03:58:51 AM,RTF,REPORT TO FOLLOW,N,5H04,043XX N Prieur St,70117,5,POINT (-90.02980409 29.97299046),calls_for_service,,
A0205822,64G,ARMED ROBBERY WITH GUN,2C,64J,CARJACKING,2C,3665365,531680,01/02/2022 07:14:53 PM,01/02/2022 07:16:21 PM,01/02/2022 07:17:40 PM,01/02/2022 09:43:35 PM,RTF,REPORT TO FOLLOW,N,2P01,080XX Nelson St,70125,2,POINT (-90.11901272 29.95641741),calls_for_service,,
