latitude,longitude
29.96663059,-90.01350838
30.01268797,-89.99471656
30.01611173,-90.01014766
29.97636323,-90.05387698
30.02103764,-89.97056454
30.03285442,-90.02682927
29.95547026,-90.08352778
29.95724338,-90.07587475
30.02294459,-90.11368599
29.95012197,-90.07082339
30.02241569,-90.04993442
29.94509133,-90.06910189
29.94682957,-90.06714998
30.02210743,-90.01146966
30.03061406,-90.01706994
29.93482554,-90.10946966
29.97542269,-90.06097891
29.91196646,-89.96427115
29.94333891,-90.06436261
30.04613601,-89.95529136
30.05695141,-89.94795344
29.96797661,-90.04660056
29.95494421,-90.07108841
30.00443737,-90.07852084
29.94699315,-90.07416651
29.97909188,-90.04874719
30.04440439,-89.92880067
30.03285442,-90.02682927
29.96455578,-90.06054916
29.94247438,-90.08130286
30.01057558,-90.01810087
30.02735574,-90.01133827
29.96292933,-90.03897505
29.96529977,-90.02469231
30.06373867,-89.93436558
29.96279259,-90.00965747
30.0572903,-89.93240882
30.03596,-89.98639503
30.04129159,-89.92387384
29.95387931,-90.06989927
29.98360577,-90.06986122
30.0131253,-89.99705927
29.94410369,-90.07034807
30.03933987,-89.98904218
29.95504311,-90.06769462
30.04727305,-89.98071308
30.05726274,-89.93098903
29.9356614,-90.02298594
29.9861493,-90.10917653
30.03641796,-90.00724509
30.00240103,-90.0397746
30.01057558,-90.01810087
29.95650819,-90.06773553
30.00525478,-90.00767053
29.97769448,-90.03152581
29.94208857,-90.09192562
30.00765194,-89.99674144
30.00728756,-90.01878985
30.02113949,-89.98212105
29.9632606,-90.04499826
30.04023648,-89.93280688
29.97173151,-90.04281132
30.00093058,-90.05219995
30.02368608,-89.96967812
30.00124171,-90.03560844
29.96958652,-90.05404773
29.99101007,-90.0661239
30.02530838,-89.9836688
29.92650307,-90.08239675
30.01749463,-90.01163133
30.0311602,-90.01103135
29.94972492,-90.03189701
29.92295825,-90.07788094
29.98652721,-90.03471041
29.97165605,-90.0429965
29.97912106,-90.06733622
29.97230917,-90.04092203
29.97821795,-90.0927727
29.96876922,-90.12616195
30.0209739,-89.96339455
30.010365,-90.01502
30.01090256,-90.01565936
29.93551702,-90.06921578
29.96362746,-90.05630576
29.95196027,-90.07121915
30.02764174,-89.99150365
29.93980704,-90.07881168
30.03192621,-90.02378629
30.02764174,-89.99150365
29.99226367,-90.03044685
30.03984727,-89.92901712
30.00996098,-90.01606909
30.02781728,-90.00964967
29.95181406,-90.06727699
30.01375489,-89.99324189
30.03917388,-89.93086643
30.0016518,-90.04436364
30.01935407,-90.01594728
30.02259682,-90.06268852
29.94305074,-90.09456157
29.94282025,-90.07420311
30.03820239,-89.97709764
29.99099853,-90.06633224
29.98206288,-90.06359537
29.93379453,-90.04373626
