item_number,district,location,disposition,signal_type,signal_description,occurred_date_time,charge_code,charge_description,offender_number,offenderid,offenderstatus,offender_race,offender_gender,offender_age,victim_number,persontype,victim_race,victim_gender,victim_age,victim_fatal_status,hate_crime,report_type,year
A-23858-22,6,012XX Freret St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),1/22/2022 4:00,14 62.8,RELATIVE TO HOME INVASION,1.0,729243.0,ARRESTED,BLACK,FEMALE,33.0,1.0,VICTIM,BLACK,FEMALE,36.0,Non-fatal,,Incident Report,2022
A-23858-22,6,012XX Freret St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),1/22/2022 4:00,14 35.3,DOMESTIC ABUSE BATTERY - SIMPLE,1.0,729243.0,ARRESTED,BLACK,FEMALE,33.0,1.0,VICTIM,BLACK,FEMALE,36.0,Non-fatal,,Incident Report,2022
A-23858-22,6,012XX Freret St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),1/22/2022 4:00,14 35.3(I),DOMESTIC ABUSE BATTERY(CHILD ENDANGERMENT) - SIMPLE,1.0,729243.0,ARRESTED,BLACK,FEMALE,33.0,1.0,VICTIM,BLACK,FEMALE,36.0,Non-fatal,,Incident Report,2022
A-23858-22,6,012XX Freret St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),1/22/2022 4:00,,,1.0,729243.0,ARRESTED,BLACK,FEMALE,33.0,2.0,WITNESS,BLACK,FEMALE,35.0,Non-fatal,,Incident Report,2022
A-23858-22,6,012XX Freret St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),1/22/2022 4:00,,,1.0,729243.0,ARRESTED,BLACK,FEMALE,33.0,3.0,NON-VICTIM,BLACK,FEMALE,,Non-fatal,,Incident Report,2022
A-23858-22,6,012XX Freret St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),1/22/2022 4:00,,,1.0,729243.0,ARRESTED,BLACK,FEMALE,33.0,4.0,WITNESS,BLACK,FEMALE,,Non-fatal,,Incident Report,2022
A-23858-22,6,012XX Freret St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),1/22/2022 4:00,,,1.0,729243.0,ARRESTED,BLACK,FEMALE,33.0,5.0,NON-VICTIM,BLACK,FEMALE,11.0,Non-fatal,,Incident Report,2022
A-23858-22,6,012XX Freret St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),1/22/2022 4:00,,,1.0,729243.0,ARRESTED,BLACK,FEMALE,33.0,6.0,NON-VICTIM,BLACK,MALE,13.0,Non-fatal,,Incident Report,2022
A-23858-22,6,012XX Freret St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),1/22/2022 4:00,,,1.0,729243.0,ARRESTED,BLACK,FEMALE,33.0,7.0,NON-VICTIM,BLACK,FEMALE,15.0,Non-fatal,,Incident Report,2022
A-23858-22,6,012XX Freret St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),1/22/2022 4:00,,,1.0,729243.0,ARRESTED,BLACK,FEMALE,33.0,8.0,NON-VICTIM,BLACK,FEMALE,14.0,Non-fatal,,Incident Report,2022
A-23927-22,5,013XX France St,OPEN,103,DISTURBANCE,1/22/2022 6:15,,,,,,,,,1.0,REPORTING PERSON,WHITE,MALE,81.0,Non-fatal,,Incident Report,2022
