item_number,district,location,disposition,signal_type,signal_description,occurred_date_time,charge_code,charge_description,offender_number,offenderid,offenderstatus,offender_race,offender_gender,offender_age,victim_number,persontype,victim_race,victim_gender,victim_age,victim_fatal_status,hate_crime,report_type,year
A-24042-22,3,004XX Chapelle St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/22/2022 0:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,1.0,729276.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,39.0,Non-fatal,,Incident Report,2022
A-24042-22,3,004XX Chapelle St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),1/22/2022 0:00,14 62,SIMPLE BURGLARY,1.0,729276.0,,UNKNOWN,UNKNOWN,,1.0,VICTIM,WHITE,MALE,39.0,Non-fatal,,Incident Report,2022
A-24103-22,6,020XX Martin Luther King Jr Bd,OPEN,21,MISCELLANEOUS INCIDENT,1/22/2022 11:40,,,,,,,,,1.0,REPORTING PERSON,WHITE,MALE,,Non-fatal,,Incident Report,2022
A-24103-22,6,020XX Martin Luther King Jr Bd,OPEN,21,MISCELLANEOUS INCIDENT,1/22/2022 11:40,,,,,,,,,2.0,NON-VICTIM,BLACK,FEMALE,,Non-fatal,,Incident Report,2022
A-24103-22,6,020XX Martin Luther King Jr Bd,OPEN,21,MISCELLANEOUS INCIDENT,1/22/2022 11:40,,,,,,,,,3.0,NON-VICTIM,BLACK,MALE,,Non-fatal,,Incident Report,2022
A-24077-22,2,038XX General Taylor St,OPEN,29,DEATH,1/22/2022 11:02,,,,,,,,,1.0,REPORTING PERSON,BLACK,FEMALE,55.0,Non-fatal,,Incident Report,2022
A-24077-22,2,038XX General Taylor St,OPEN,29,DEATH,1/22/2022 11:02,,,,,,,,,2.0,NON-VICTIM,BLACK,MALE,54.0,Fatal,,Incident Report,2022
A-23969-22,8,007XX Tchoupitoulas St,OPEN,103,DISTURBANCE,1/22/2022 8:10,,,,,,,,,1.0,REPORTING PERSON,BLACK,FEMALE,55.0,Non-fatal,,Incident Report,2022
A-24106-22,2,088XX Willow St,OPEN,21,MISCELLANEOUS INCIDENT,1/22/2022 11:47,,,,,,,,,1.0,REPORTING PERSON,BLACK,FEMALE,48.0,Non-fatal,,Incident Report,2022
A-24020-22,7,047XX Ray Av,OPEN,79,VIOLATION OF PROTECTIVE ORDERS,1/22/2022 9:43,,,1.0,729392.0,,BLACK,MALE,51.0,1.0,REPORTING PERSON,BLACK,FEMALE,77.0,Non-fatal,,Incident Report,2022
A-24020-22,7,047XX Ray Av,OPEN,79,VIOLATION OF PROTECTIVE ORDERS,1/22/2022 9:43,14 79,VIOLATIONS OF PROTECTIVE ORDERS,1.0,729392.0,,BLACK,MALE,51.0,2.0,VICTIM,BLACK,FEMALE,47.0,Non-fatal,,Incident Report,2022
A-24152-22,5,011XX Charbonnet St,OPEN,21P,LOST PROPERTY,1/16/2022 16:00,,,,,,,,,1.0,REPORTING PERSON,BLACK,FEMALE,85.0,Non-fatal,,Incident Report,2022
