latitude,longitude,set
29.95046717,-90.10132144,rtcc
29.96476922,-90.03157989,rtcc
29.98818303,-90.06726308,rtcc
29.93270987,-90.08921519,rtcc
29.96821801,-90.0326551,rtcc
29.95419536,-90.10249907,rtcc
29.92558692,-90.07335407,rtcc
29.92913657,-90.08460704,rtcc
29.97624081,-90.09568168,rtcc
29.97714025,-90.03747742,rtcc
29.98937309,-90.0661974,rtcc
29.98880931,-90.05859653,rtcc
29.9681956,-90.10147794,rtcc
29.98870839,-90.07500516,rtcc
29.93882815,-90.09799179,rtcc
29.98938125,-90.07308729,rtcc
29.98983154,-90.07299522,rtcc
29.95651951,-90.10483704,rtcc
29.95754868,-90.10484136,rtcc
29.94026063,-90.09992315,rtcc
29.93055786,-90.04184666,rtcc
29.97742251,-90.09728397,rtcc
29.9792741,-90.09568232,rtcc
29.94894669,-90.10453141,rtcc
29.98783699,-90.08313333,rtcc
29.9776077,-90.09763539,rtcc
29.99135768,-90.06691779,rtcc
29.93849017,-90.03269521,rtcc
29.93635966,-90.03429275,rtcc
29.96901252,-90.1036876,rtcc
29.97392455,-90.10108532,rtcc
29.92372564,-90.0782951,rtcc
29.97532206,-90.10031613,rtcc
29.932252,-90.09556716,rtcc
29.92369202,-90.08060489,rtcc
29.92820151,-90.09130019,rtcc
29.97879091,-90.09940658,rtcc
29.95264216,-90.10766074,rtcc
29.92455563,-90.08546656,rtcc
29.94007236,-90.10356648,rtcc
29.98221466,-90.03597782,rtcc
29.99301029,-90.07336756,rtcc
29.96980429,-90.10578548,rtcc
29.93545299,-90.10060284,rtcc
29.9891886,-90.08694834,rtcc
29.99136292,-90.04945624,rtcc
29.986384,-90.03944567,rtcc
29.95540451,-90.10960423,rtcc
29.96716663,-90.10805925,rtcc
29.92863875,-90.03702348,rtcc
29.99375783,-90.07758853,rtcc
29.95847655,-90.11021705,rtcc
29.96261894,-90.02229543,rtcc
29.9270609,-90.09474664,rtcc
29.96006811,-90.02125083,rtcc
29.96176891,-90.11120002,rtcc
29.98537987,-90.03491105,rtcc
29.95676042,-90.11162655,rtcc
29.99371838,-90.04964756,rtcc
29.96778419,-90.02253152,rtcc
29.93804784,-90.02610372,rtcc
29.93002196,-90.03217206,rtcc
29.96221702,-90.02052632,rtcc
29.98788106,-90.03627161,rtcc
29.96316555,-90.02020256,rtcc
29.98766791,-90.03536108,rtcc
29.94606031,-90.02090184,rtcc
29.96314208,-90.11289793,rtcc
29.96670547,-90.11249633,rtcc
29.99671229,-90.0795187,rtcc
29.94049774,-90.02253448,rtcc
29.9840007,-90.102724,rtcc
29.99834689,-90.06051724,rtcc
29.96877858,-90.02029173,rtcc
29.99747873,-90.05356717,rtcc
29.91836332,-90.08673464,rtcc
29.96664825,-90.11397809,rtcc
29.99277788,-90.09287881,rtcc
29.94257385,-90.02009432,rtcc
29.96104653,-90.11513766,rtcc
29.94625422,-90.1141596,rtcc
29.93399781,-90.02446044,rtcc
29.9467221,-90.11435728,rtcc
