latitude,longitude,set
29.96663059,-90.01350838,calls_for_service
30.01268797,-89.99471656,calls_for_service
30.01611173,-90.01014766,calls_for_service
29.97636323,-90.05387698,calls_for_service
30.02103764,-89.97056454,calls_for_service
30.03285442,-90.02682927,calls_for_service
29.95547026,-90.08352778,calls_for_service
29.95724338,-90.07587475,calls_for_service
30.02294459,-90.11368599,calls_for_service
29.95012197,-90.07082339,calls_for_service
30.02241569,-90.04993442,calls_for_service
29.94509133,-90.06910189,calls_for_service
29.94682957,-90.06714998,calls_for_service
30.02210743,-90.01146966,calls_for_service
30.03061406,-90.01706994,calls_for_service
29.93482554,-90.10946966,calls_for_service
29.97542269,-90.06097891,calls_for_service
29.91196646,-89.96427115,calls_for_service
29.94333891,-90.06436261,calls_for_service
30.04613601,-89.95529136,calls_for_service
30.05695141,-89.94795344,calls_for_service
29.96797661,-90.04660056,calls_for_service
29.95494421,-90.07108841,calls_for_service
30.00443737,-90.07852084,calls_for_service
29.94699315,-90.07416651,calls_for_service
29.97909188,-90.04874719,calls_for_service
30.04440439,-89.92880067,calls_for_service
30.03285442,-90.02682927,calls_for_service
29.96455578,-90.06054916,calls_for_service
29.94247438,-90.08130286,calls_for_service
30.01057558,-90.01810087,calls_for_service
30.02735574,-90.01133827,calls_for_service
29.96292933,-90.03897505,calls_for_service
29.96529977,-90.02469231,calls_for_service
30.06373867,-89.93436558,calls_for_service
29.96279259,-90.00965747,calls_for_service
30.0572903,-89.93240882,calls_for_service
30.03596,-89.98639503,calls_for_service
30.04129159,-89.92387384,calls_for_service
29.95387931,-90.06989927,calls_for_service
29.98360577,-90.06986122,calls_for_service
30.0131253,-89.99705927,calls_for_service
29.94410369,-90.07034807,calls_for_service
30.03933987,-89.98904218,calls_for_service
29.95504311,-90.06769462,calls_for_service
30.04727305,-89.98071308,calls_for_service
30.05726274,-89.93098903,calls_for_service
29.9356614,-90.02298594,calls_for_service
29.9861493,-90.10917653,calls_for_service
30.03641796,-90.00724509,calls_for_service
30.00240103,-90.0397746,calls_for_service
30.01057558,-90.01810087,calls_for_service
29.95650819,-90.06773553,calls_for_service
30.00525478,-90.00767053,calls_for_service
29.97769448,-90.03152581,calls_for_service
29.94208857,-90.09192562,calls_for_service
30.00765194,-89.99674144,calls_for_service
30.00728756,-90.01878985,calls_for_service
30.02113949,-89.98212105,calls_for_service
29.9632606,-90.04499826,calls_for_service
30.04023648,-89.93280688,calls_for_service
29.97173151,-90.04281132,calls_for_service
30.00093058,-90.05219995,calls_for_service
30.02368608,-89.96967812,calls_for_service
30.00124171,-90.03560844,calls_for_service
29.96958652,-90.05404773,calls_for_service
29.99101007,-90.0661239,calls_for_service
30.02530838,-89.9836688,calls_for_service
29.92650307,-90.08239675,calls_for_service
30.01749463,-90.01163133,calls_for_service
30.0311602,-90.01103135,calls_for_service
29.94972492,-90.03189701,calls_for_service
29.92295825,-90.07788094,calls_for_service
29.98652721,-90.03471041,calls_for_service
29.97165605,-90.0429965,calls_for_service
29.97912106,-90.06733622,calls_for_service
29.97230917,-90.04092203,calls_for_service
29.97821795,-90.0927727,calls_for_service
29.96876922,-90.12616195,calls_for_service
30.0209739,-89.96339455,calls_for_service
30.010365,-90.01502,calls_for_service
30.01090256,-90.01565936,calls_for_service
29.93551702,-90.06921578,calls_for_service
29.96362746,-90.05630576,calls_for_service
29.95196027,-90.07121915,calls_for_service
30.02764174,-89.99150365,calls_for_service
29.93980704,-90.07881168,calls_for_service
30.03192621,-90.02378629,calls_for_service
30.02764174,-89.99150365,calls_for_service
29.99226367,-90.03044685,calls_for_service
30.03984727,-89.92901712,calls_for_service
30.00996098,-90.01606909,calls_for_service
30.02781728,-90.00964967,calls_for_service
29.95181406,-90.06727699,calls_for_service
30.01375489,-89.99324189,calls_for_service
30.03917388,-89.93086643,calls_for_service
30.0016518,-90.04436364,calls_for_service
30.01935407,-90.01594728,calls_for_service
30.02259682,-90.06268852,calls_for_service
29.94305074,-90.09456157,calls_for_service
29.94282025,-90.07420311,calls_for_service
30.03820239,-89.97709764,calls_for_service
29.99099853,-90.06633224,calls_for_service
29.98206288,-90.06359537,calls_for_service
29.93379453,-90.04373626,calls_for_service
29.94433909,-90.07739632,calls_for_service
30.02937693,-89.99752507,calls_for_service
30.03948822,-89.91535076,calls_for_service
29.94642875,-90.13206217,calls_for_service
29.97075362,-90.09522631,calls_for_service
29.9766865,-90.09290988,calls_for_service
29.96737624,-90.11600481,calls_for_service
29.97080728,-90.06584321,calls_for_service
30.00411603,-90.10268056,calls_for_service
29.93143195,-90.04021884,calls_for_service
29.96940807,-90.06477841,calls_for_service
29.99610748,-90.11374275,calls_for_service
30.00576839,-90.11884765,calls_for_service
29.90513499,-89.99389801,calls_for_service
29.92407285,-90.01874937,calls_for_service
29.96819519,-90.10147165,calls_for_service
29.94728678,-90.07148313,calls_for_service
30.00825062,-90.10331991,calls_for_service
29.95807406,-90.07411276,calls_for_service
29.93457167,-90.04051205,calls_for_service
29.97473735,-90.0916475,calls_for_service
29.9805424,-90.11226191,calls_for_service
29.92010512,-90.01386586,calls_for_service
29.99782717,-90.11356357,calls_for_service
29.99963417,-90.11333718,calls_for_service
29.96352053,-90.08956026,calls_for_service
29.90928228,-89.99338336,calls_for_service
30.03021385,-89.98381199,calls_for_service
29.96734457,-90.09613136,calls_for_service
29.99673707,-90.10129238,calls_for_service
29.95935566,-90.06991538,calls_for_service
29.9725914,-90.06545877,calls_for_service
30.03720467,-89.93032003,calls_for_service
29.95518391,-90.10107008,calls_for_service
29.94163796,-90.07256007,calls_for_service
29.97552206,-90.06109118,calls_for_service
30.00427497,-90.12164207,calls_for_service
29.96226201,-90.08227666,calls_for_service
30.00448696,-90.10681174,calls_for_service
29.93435339,-90.06960906,calls_for_service
30.00001411,-90.11329261,calls_for_service
29.91750131,-89.98323637,calls_for_service
29.92152639,-90.01369888,calls_for_service
29.96609209,-90.09430709,calls_for_service
30.00001411,-90.11329261,calls_for_service
29.93990957,-90.1301264,calls_for_service
29.95014038,-90.11073995,calls_for_service
29.98068538,-90.09779263,calls_for_service
30.02248249,-89.97734682,calls_for_service
30.01249335,-90.12126212,calls_for_service
30.00920785,-90.0208144,calls_for_service
29.95538535,-90.06691051,calls_for_service
30.00261038,-90.11380762,calls_for_service
29.97187394,-90.03535858,calls_for_service
29.93376947,-90.00728985,calls_for_service
30.00235251,-90.102884,calls_for_service
29.92528714,-90.02137362,calls_for_service
29.97619266,-90.09897785,calls_for_service
29.95104444,-90.08112589,calls_for_service
29.96827791,-90.11108487,calls_for_service
30.01022733,-90.10512028,calls_for_service
30.00572817,-90.03268998,calls_for_service
29.98970259,-90.10812238,calls_for_service
29.94883784,-90.04691787,calls_for_service
29.94818411,-90.1012365,calls_for_service
29.97795034,-90.10172519,calls_for_service
29.92000282,-90.0223077,calls_for_service
30.03748091,-89.93248509,calls_for_service
29.95750014,-90.06953643,calls_for_service
29.94571824,-90.0760531,calls_for_service
29.93439031,-90.08063779,calls_for_service
30.00555645,-90.1172218,calls_for_service
29.97526758,-90.11000248,calls_for_service
29.97526758,-90.11000248,calls_for_service
29.96725858,-90.08578453,calls_for_service
30.00007849,-90.1139946,calls_for_service
30.00516446,-90.0324535,calls_for_service
29.95661845,-90.10452346,calls_for_service
29.98904772,-90.1100576,calls_for_service
29.92344951,-89.98409681,calls_for_service
29.91811001,-89.99817487,calls_for_service
29.91973935,-90.01140458,calls_for_service
29.93065713,-90.02076111,calls_for_service
30.00559371,-90.1157963,calls_for_service
29.94412791,-90.09780226,calls_for_service
30.00479925,-90.11034955,calls_for_service
30.00653521,-90.10452877,calls_for_service
29.95966765,-90.0330732,calls_for_service
30.00457899,-90.10783795,calls_for_service
29.9784706,-90.10862723,calls_for_service
29.97062974,-90.03445086,calls_for_service
29.96788125,-90.066087,calls_for_service
29.96759439,-90.1034911,calls_for_service
29.95824204,-90.0688721,calls_for_service
29.92925567,-90.11880167,calls_for_service
29.99970063,-90.05911274,calls_for_service
29.95074975,-90.04504883,calls_for_service
29.96209044,-90.05273817,calls_for_service
30.03101554,-89.98476672,calls_for_service
30.0494752,-89.95442989,calls_for_service
29.96817693,-90.06511692,calls_for_service
29.94070448,-90.09996605,calls_for_service
30.0732017,-89.92551258,calls_for_service
30.02088264,-90.081831,calls_for_service
29.9268587,-90.1334098,calls_for_service
29.93047466,-90.02006831,calls_for_service
29.97565522,-90.03977058,calls_for_service
29.94558041,-90.07584037,calls_for_service
30.00540813,-90.07471359,calls_for_service
29.9782012,-90.03267972,calls_for_service
