,offender_race,offender_gender,rtcc_footage_request_tally,population,rate_per_1000_persons,year
0,amer. ind.,male,3,360,8.333333333333334,2020
1,black,male,2669,105498,25.299057802043638,2020
2,hispanic,male,49,11205,4.373047746541722,2020
3,white,male,123,65756,1.870551736723645,2020
