,offender_race,offender_gender,rtcc_footage_request_tally,population,rate_per_1000_persons,year
0,asian,male,3,5499,0.5455537370430987,2018
1,black,male,1335,105498,12.654268327361656,2018
2,hispanic,male,29,11205,2.5881302989736725,2018
3,white,male,177,65756,2.691769572358416,2018
