,offender_race,offender_gender,rtcc_footage_request_tally,population,rate_per_1000_persons,year
0,asian,male,4,5499,0.7274049827241317,2022
1,black,male,199,105498,1.8862916832546588,2022
2,white,male,16,65756,0.24332380315104324,2022
