,offender_race,offender_gender,rtcc_footage_request_tally,population,rate_per_1000_persons,year
0,asian,male,5,5499,0.9092562284051646,2021
1,black,male,2739,105498,25.962577489620656,2021
2,hispanic,male,3,11205,0.2677376171352075,2021
3,white,male,204,65756,3.102378490175801,2021
