,offender_race,offender_gender,rtcc_footage_request_tally,population,rate_per_1000_persons,year
0,amer. ind.,male,3,360,8.333333333333334,2020
1,black,male,1009,105498,9.564162353788698,2020
2,hispanic,male,28,11205,2.4988844265952697,2020
3,white,male,63,65756,0.9580874749072328,2020
