,offender_race,offender_gender,rtcc_footage_request_tally,population,rate_per_1000_persons,year
0,asian,male,4,5499,0.7274049827241317,2022
1,black,male,757,105498,7.175491478511441,2022
2,white,male,50,65756,0.7603868848470101,2022
