,hour
12,8250
1,7321
0,7166
16,7127
15,7101
17,7094
11,7050
20,6981
19,6896
18,6847
10,6591
21,6586
2,6531
23,6344
14,6182
13,6033
22,5845
9,5700
3,5650
8,4934
4,4246
7,3924
5,3003
6,2936
