,offender_race,offender_gender,rtcc_footage_request_tally,population,rate_per_1000_persons,year
0,asian,male,3,5499,0.5455537370430987,2019
1,black,male,2050,105498,19.43164799332689,2019
2,hispanic,male,27,11205,2.4096385542168677,2019
3,white,male,227,65756,3.452156457205426,2019
