,offender_race,offender_gender,rtcc_footage_request_tally,population,rate_per_1000_persons,year
0,amer. ind.,male,3,360,8.333333333333334,2020-2022
1,asian,male,8,5499,1.4548099654482634,2020-2022
2,black,male,2223,105498,21.071489506910083,2020-2022
3,hispanic,male,29,11205,2.5881302989736725,2020-2022
4,white,male,172,65756,2.6157308838737148,2020-2022
