Item / Case Number	Signal Code
D-21124-22	20
D-21054-22	100
D-21312-22	30S
D-21546-22	52F
D-21258-22	20I
D-21312-22	30S
D-21770-22	52F
D-21803-22	20
D-21931-22	103M
C-23385-22	30
C-13437-22	21
C-23385-22	30
D-20918-22	21ID
D-21908-22	20
C-23385-22	30
D-21580-22	51
D-22407-22	30S
C-23385-22	30
C-23385-22	30
D-22288-22	67AR
D-22858-22	64G
D-22516-22	20 I
D-22407-22	30 S
D-23043-22	18
D-23110-22	18
D-23250-22	20
D-24204-22	65P
D-24437-22	107
D-24496-22	20I
D-22858-22	64G
D-23500-22	20
D-24383-22	60
D-24586-22	29U
D-23569-22	37C
D-24810-22	20I
D-25045-22	103F
D-25153-22	106
D-25154-22	52F
D-25093-22	20I
D-20283-22	67A
D-23004-22	21
D-23380-22	20
D-23462-22	100
D-23302-22	107
 
D-23139-22	64G
C-10930-22	67 A
D-23742-22	20
D-24364-22	20I
D-24715-22	20I
D-24586-22	29
D-24402-22	20C
D-24595-22	20
D-24652-22	37
D-25083-22	20I
D-25087-22	65
C-13437-22	21
D-23846-22	30S
D-24925-22	64G
D-27946-22	20
D-07788-22	21M
D-28149-22	103F
D-25876-22	18
D-26052-22	20I
D-26083-22	20
D-26335-22	20I
D-22407-22	30S
D-25667-22	100
D-25635-22	20
D-25877-22	20I
D-22127-22	67
D-21305-22	30S
D-25516-22	94
D-25600-22	107
D-19183-22	107
D-25560-22	20
D-25910-22	20
D-25970-22	21
D-26180-22	20I
D-26521-22	100
D-26733-22	21
D-26234-22	35
D-26534-22	100
D-26702-22	20
D-28200-22	37
D-28492-22	35
D-28632-22	56 D
D-27255-22	103F
D-26946-22	65
D-27511-22	100I
D-27532-22	24
D-27504-22	21
 
D-27223-22	100I
D-26440-22	65P
D-28018-22	106
D-27700-22	20
D-22407-22	30S
D-28080-22	34S
D-27999-22	67A
D-28846-22	20
D-28896-22	18
D-26870-22	65
D-29715-22	100
D-30004-22	64G
D-30469-22	20I
D-29081-22	20
D-30499-22	20
D-30618-22	20
D-30604-22	20
D-30001-22	29U
D-30142-22	34S
D-30460-22	35D
D-30647-22	20I
D-31178-22	20
D-31459-22	21
D-31479-22	21ID
D-31480-22	21ID
D-31483-22	21ID
D-24836-22	30S
D-31977-22	20
D-32007-22	20I
D-32035-22	107
D-29365-22	100
D-29941-22	18
D-30637-22	62C
C-03388-22	64J
C-03388-22	64J
D-31791-22	18
D-31828-22	18
C-03388-22	64J
D-30111-22	64G
D-29745-22	29S
D-29565-22	37
D-30640-22	20
D-30507-22	22A
D-30777-22	37
D-30889-22	100
D-31330-22	20
D-29745-22	29U
 
D-31875-22	103F
D-31828-22	18
D-31930	18
D-26870-22	65
D-32453-22	106
D-32558-22	64G
D-32971-22	20I
D-32895-22	20
E-00074-22	21P
E-00551-22	67A
E-01273-22	64K
D-33115-22	65
D-33216-22	35
D-16233-22	65 J
D-33362-22	103
D-33440-22	35
D-33388-22	34C
D-33804-22	64G
D-30111-22	64G
D-34004-22	20
D-30670-22	62C
D-33505-22	62C
D-34070-22	22A
D-33804-22	64G
E-00249-22	67S
D-31932-22	67A
D-34298-22	20 I
D-34362-22	37
D-34374-22	67 A
E-00145-22	64 G
D-34472-22	52F
D-34414-22	103F
E-00133-22	20I
E-00152-22	103
E-00005-22	95G
E-00958-22	30S
E-01041-22	37
E-01169-22	21
D-32558-22	64 G
E-00836-22	30 S
E-01328-22	64G
E-01140-22	62C
D-16105-22	30S
D-33661-22	966
E-01296-22	64G
E-01623-22	55
E-01296-22	64G
 
E-01583-22	20
D-32130-22	30S
E-00836-22	30S
E-02842-22	20
E-03163-22	20
E-03313-22	34S
E-03543-22	34S
E-01296-22	64G
D-33322-22	34S
E-03177-22	100I
E-03684-22	34S
