item_number,location
e2605718,"43XX La Salle, New Orleans, Louisiana"
e2605718,"43XX La Salle, New Orleans, Louisiana"
i3314318,"Morrison Rd & Pebble Dr, New Orleans, Louisiana"
i3314318,"Morrison Rd & Pebble Dr, New Orleans, Louisiana"
i3314318,"Morrison Rd & Pebble Dr, New Orleans, Louisiana"
i3314318,"Morrison Rd & Pebble Dr, New Orleans, Louisiana"
i1076318,"Edinburgh St & Hamilton St, New Orleans, Louisiana"
e2470318,"5XX Bourbon St, New Orleans, Louisiana"
d2859018,"14XX N Claiborne St, New Orleans, Louisiana"
l0288518,"5XX Bourbon St, New Orleans, Louisiana"
l0288518,"5XX Bourbon St, New Orleans, Louisiana"
d2128718,"Crescent Dr & Paris Av, New Orleans, Louisiana"
i3512618,"31XX S Carrollton Av, New Orleans, Louisiana"
i3512618,"31XX S Carrollton Av, New Orleans, Louisiana"
e2774718,"60XX Franklin Av, New Orleans, Louisiana"
e2774718,"60XX Franklin Av, New Orleans, Louisiana"
e2774718,"60XX Franklin Av, New Orleans, Louisiana"
e2774718,"60XX Franklin Av, New Orleans, Louisiana"
e2827218,"18XX S Liberty St, New Orleans, Louisiana"
e2827218,"18XX S Liberty St, New Orleans, Louisiana"
i2115918,"55XX Crowder Bd, New Orleans, Louisiana"
i2115918,"55XX Crowder Bd, New Orleans, Louisiana"
i2115918,"55XX Crowder Bd, New Orleans, Louisiana"
i2115918,"55XX Crowder Bd, New Orleans, Louisiana"
i3012318,"68XX W Coronet Ct, New Orleans, Louisiana"
i3012318,"68XX W Coronet Ct, New Orleans, Louisiana"
i3012318,"68XX W Coronet Ct, New Orleans, Louisiana"
i3012318,"68XX W Coronet Ct, New Orleans, Louisiana"
i3012318,"68XX W Coronet Ct, New Orleans, Louisiana"
i3012318,"68XX W Coronet Ct, New Orleans, Louisiana"
i3012318,"68XX W Coronet Ct, New Orleans, Louisiana"
i3012318,"68XX W Coronet Ct, New Orleans, Louisiana"
i3012318,"68XX W Coronet Ct, New Orleans, Louisiana"
i3012318,"68XX W Coronet Ct, New Orleans, Louisiana"
i3012318,"68XX W Coronet Ct, New Orleans, Louisiana"
i3012318,"68XX W Coronet Ct, New Orleans, Louisiana"
i3012318,"68XX W Coronet Ct, New Orleans, Louisiana"
i3012318,"68XX W Coronet Ct, New Orleans, Louisiana"
i3012318,"68XX W Coronet Ct, New Orleans, Louisiana"
e3440418,"30XX Copernicus, New Orleans, Louisiana"
e3440418,"30XX Copernicus, New Orleans, Louisiana"
e3440418,"30XX Copernicus, New Orleans, Louisiana"
e3440418,"30XX Copernicus, New Orleans, Louisiana"
e3440418,"30XX Copernicus, New Orleans, Louisiana"
e3440418,"30XX Copernicus, New Orleans, Louisiana"
e3440418,"30XX Copernicus, New Orleans, Louisiana"
e3440418,"30XX Copernicus, New Orleans, Louisiana"
e3440418,"30XX Copernicus, New Orleans, Louisiana"
e3440418,"30XX Copernicus, New Orleans, Louisiana"
e2993818,"17XX Eagle St, New Orleans, Louisiana"
e2993818,"17XX Eagle St, New Orleans, Louisiana"
e2993818,"17XX Eagle St, New Orleans, Louisiana"
e2993818,"17XX Eagle St, New Orleans, Louisiana"
e2993818,"17XX Eagle St, New Orleans, Louisiana"
e3546518,"20XX Pauger St, New Orleans, Louisiana"
e3546518,"20XX Pauger St, New Orleans, Louisiana"
e3546518,"20XX Pauger St, New Orleans, Louisiana"
d1599418,"Iberville St & Bourbon St, New Orleans, Louisiana"
e3432818,"14XX Lawrence St, New Orleans, Louisiana"
l3083618,"16XX Murl St, New Orleans, Louisiana"
l3083618,"16XX Murl St, New Orleans, Louisiana"
i0413218,"30XX Broadway St, New Orleans, Louisiana"
i0323118,"21XX Springbrook, New Orleans, Louisiana"
i0323118,"21XX Springbrook, New Orleans, Louisiana"
i0323118,"21XX Springbrook, New Orleans, Louisiana"
i0323118,"21XX Springbrook, New Orleans, Louisiana"
d3468818,"7XX Bourbon St, New Orleans, Louisiana"
e1174018,"N Villere St & Annette St, New Orleans, Louisiana"
e0936618,"16XX Elizardi Bd, New Orleans, Louisiana"
e0936618,"16XX Elizardi Bd, New Orleans, Louisiana"
e0936618,"16XX Elizardi Bd, New Orleans, Louisiana"
e0936618,"16XX Elizardi Bd, New Orleans, Louisiana"
e3592518,"7XX Toulouse St, New Orleans, Louisiana"
e3592518,"7XX Toulouse St, New Orleans, Louisiana"
e3592518,"7XX Toulouse St, New Orleans, Louisiana"
j0048918,"Canal & Bourbon, New Orleans, Louisiana"
j0048918,"Canal & Bourbon, New Orleans, Louisiana"
e3341218,"47XX Canal Shell, New Orleans, Louisiana"
e3341218,"47XX Canal Shell, New Orleans, Louisiana"
e3341218,"47XX Canal Shell, New Orleans, Louisiana"
e3341218,"47XX Canal Shell, New Orleans, Louisiana"
e3341218,"47XX Canal Shell, New Orleans, Louisiana"
e3341218,"47XX Canal Shell, New Orleans, Louisiana"
g0605318,"40XX Ulloa St, New Orleans, Louisiana"
d1304218,"Jeannette St & Leonidas St, New Orleans, Louisiana"
e3426018,"17XX S Dupre St, New Orleans, Louisiana"
d1802618,"33XX Saint Charles Av, New Orleans, Louisiana"
e3702318,"34XX S Carrollton Av, New Orleans, Louisiana"
e3702318,"34XX S Carrollton Av, New Orleans, Louisiana"
e3749618,"86XX Plum St, New Orleans, Louisiana"
d0790918,"L B Landry Dr & Mardi Gras Bd, New Orleans, Louisiana"
e3734218,"12XX Bienville St, New Orleans, Louisiana"
e3594018,"30XX 1st St, New Orleans, Louisiana"
e3594018,"30XX 1st St, New Orleans, Louisiana"
e3594018,"30XX 1st St, New Orleans, Louisiana"
e3594018,"30XX 1st St, New Orleans, Louisiana"
e0359818,"18XX Magnolia St, New Orleans, Louisiana"
e0359818,"18XX Magnolia St, New Orleans, Louisiana"
e0359818,"18XX Magnolia St, New Orleans, Louisiana"
e0359818,"18XX Magnolia St, New Orleans, Louisiana"
e0359818,"18XX Magnolia St, New Orleans, Louisiana"
e0359818,"18XX Magnolia St, New Orleans, Louisiana"
f0079718,"15XX N Villere St, New Orleans, Louisiana"
f0079718,"15XX N Villere St, New Orleans, Louisiana"
f0199418,"60XX Urquhart St, New Orleans, Louisiana"
f0217018,"29XX Amelia St, New Orleans, Louisiana"
j3234618,"Upperline St & Chestnut St, New Orleans, Louisiana"
j3234618,"Upperline St & Chestnut St, New Orleans, Louisiana"
j3234618,"Upperline St & Chestnut St, New Orleans, Louisiana"
j3234618,"Upperline St & Chestnut St, New Orleans, Louisiana"
j3234618,"Upperline St & Chestnut St, New Orleans, Louisiana"
j3234618,"Upperline St & Chestnut St, New Orleans, Louisiana"
i3807918,"26XX Mexico, New Orleans, Louisiana"
i3807918,"26XX Mexico, New Orleans, Louisiana"
f0274918,"S Galvez St & Gravier St, New Orleans, Louisiana"
f0274918,"S Galvez St & Gravier St, New Orleans, Louisiana"
j0017618,"2XX Bourbon St, New Orleans, Louisiana"
j0017618,"2XX Bourbon St, New Orleans, Louisiana"
j0017618,"2XX Bourbon St, New Orleans, Louisiana"
j0017618,"2XX Bourbon St, New Orleans, Louisiana"
j0017618,"2XX Bourbon St, New Orleans, Louisiana"
j0017618,"2XX Bourbon St, New Orleans, Louisiana"
j0017618,"2XX Bourbon St, New Orleans, Louisiana"
j0017618,"2XX Bourbon St, New Orleans, Louisiana"
f0298618,"35XX S Carrollton Av, New Orleans, Louisiana"
f0298618,"35XX S Carrollton Av, New Orleans, Louisiana"
