,occurred_date_time,latitude,longitude,hour,item_number,occurred_date,occurred_time
69751,2020-08-13 12:52:00,30.0259606,-89.9760048,12,h1489420,2020-08-13,12:52:00
69763,2020-08-13 12:52:00,30.0259606,-89.9760048,12,h1489420,2020-08-13,12:52:00
69775,2020-08-13 12:52:00,30.0259606,-89.9760048,12,h1489420,2020-08-13,12:52:00
69787,2020-08-13 12:52:00,30.0259606,-89.9760048,12,h1489420,2020-08-13,12:52:00
69799,2020-08-13 12:52:00,29.942445,-90.0936242,12,h1519220,2020-08-13,12:52:00
69803,2020-08-13 12:52:00,29.942445,-90.0936242,12,h1519220,2020-08-13,12:52:00
69811,2020-08-13 12:52:00,29.942445,-90.0936242,12,h1519220,2020-08-13,12:52:00
69815,2020-08-13 12:52:00,29.9728859,-90.0605592,12,h1519620,2020-08-13,12:52:00
69817,2020-08-13 12:52:00,29.9728859,-90.0605592,12,h1519620,2020-08-13,12:52:00
69819,2020-08-13 17:54:00,29.9704162,-90.0811724,17,h1531320,2020-08-13,17:54:00
69820,2020-08-13 17:54:00,29.9532629,-90.0689953,17,h1545820,2020-08-13,17:54:00
69821,2020-08-13 17:54:00,29.9409699,-90.1286963,17,h1548420,2020-08-13,17:54:00
69822,2020-08-13 18:00:00,29.9404448,-90.03157929999999,18,h1551920,2020-08-13,18:00:00
69824,2020-08-13 18:00:00,29.9404448,-90.03157929999999,18,h1551920,2020-08-13,18:00:00
69830,2020-08-14 00:07:00,29.9465427,-90.0795131,0,h1566820,2020-08-14,00:07:00
69832,2020-08-14 00:55:00,29.9800723,-90.05334909999999,0,h1597920,2020-08-14,00:55:00
69848,2020-08-14 08:55:00,29.9269114,-90.0245419,8,h1633620,2020-08-14,08:55:00
69851,2020-08-14 08:55:00,29.9713626,-90.0828174,8,h1663620,2020-08-14,08:55:00
69852,2020-08-14 08:55:00,30.0451664,-89.95950739999999,8,h1683020,2020-08-14,08:55:00
69853,2020-08-14 10:00:00,29.947418,-90.092429,10,h1703320,2020-08-14,10:00:00
69861,2020-08-14 11:47:00,29.947418,-90.092429,11,h1703320,2020-08-14,11:47:00
69869,2020-08-14 13:49:00,29.947418,-90.092429,13,h1703320,2020-08-14,13:49:00
69877,2020-08-14 13:49:00,29.947418,-90.092429,13,h1703320,2020-08-14,13:49:00
69885,2020-08-14 13:49:00,29.947418,-90.092429,13,h1703320,2020-08-14,13:49:00
69936,2020-08-15 11:50:00,29.9539123,-90.0686731,11,h1821220,2020-08-15,11:50:00
69982,2020-08-16 08:50:00,29.9533675,-90.0687865,8,h1838620,2020-08-16,08:50:00
69990,2020-08-16 08:50:00,30.031358,-89.9950819,8,h1859820,2020-08-16,08:50:00
69991,2020-08-16 08:50:00,29.9509342,-90.108103,8,h1868920,2020-08-16,08:50:00
69995,2020-08-16 09:00:00,29.962272,-90.1141516,9,h1919920,2020-08-16,09:00:00
70003,2020-08-16 09:55:00,29.962272,-90.1141516,9,h1919920,2020-08-16,09:55:00
70011,2020-08-16 09:55:00,29.9448992,-90.0404736,9,h1920220,2020-08-16,09:55:00
70014,2020-08-16 14:10:00,29.9448992,-90.0404736,14,h1920220,2020-08-16,14:10:00
70030,2020-08-17 08:00:00,30.0303396,-90.02629160000001,8,h2027520,2020-08-17,08:00:00
70034,2020-08-17 08:30:00,30.0303396,-90.02629160000001,8,h2027520,2020-08-17,08:30:00
70096,2020-08-18 16:30:00,29.9418346,-90.0684435,16,h2165820,2020-08-18,16:30:00
70128,2020-08-18 16:30:00,29.9418346,-90.0684435,16,h2165820,2020-08-18,16:30:00
