occurred_date_time,latitude,longitude,occurred_date,occurred_time
2018-04-18 01:00:00,29.9547116,-90.069155,2018-04-18,01:00:00
2018-04-18 04:52:00,29.9547116,-90.069155,2018-04-18,04:52:00
2018-04-18 04:52:00,29.9707601,-90.0795922,2018-04-18,04:52:00
2018-04-18 12:04:00,29.9707601,-90.0795922,2018-04-18,12:04:00
2018-04-18 14:30:00,29.9809261,-90.0814592,2018-04-18,14:30:00
2018-04-18 15:37:00,30.0318331,-90.0019775,2018-04-18,15:37:00
2018-04-18 22:15:00,29.967587,-90.086426,2018-04-18,22:15:00
2018-04-19 19:55:00,29.967587,-90.086426,2018-04-19,19:55:00
2018-04-20 00:00:00,29.967587,-90.086426,2018-04-20,00:00:00
2018-04-20 00:00:00,29.967587,-90.086426,2018-04-20,00:00:00
2018-04-20 09:38:00,29.9547116,-90.069155,2018-04-20,09:38:00
2018-04-21 01:50:00,29.9776514,-90.0767059,2018-04-21,01:50:00
2018-04-21 01:50:00,30.027116,-89.992026,2018-04-21,01:50:00
2018-04-21 04:00:00,29.9784841,-90.0838403,2018-04-21,04:00:00
2018-04-21 04:00:00,29.9898281,-90.0715699,2018-04-21,04:00:00
2018-04-21 04:00:00,29.9362305,-90.1183137,2018-04-21,04:00:00
2018-04-21 04:00:00,29.9362305,-90.1183137,2018-04-21,04:00:00
2018-04-21 04:00:00,29.9362305,-90.1183137,2018-04-21,04:00:00
2018-04-21 04:00:00,29.9362305,-90.1183137,2018-04-21,04:00:00
2018-04-22 00:33:00,29.9362305,-90.1183137,2018-04-22,00:33:00
2018-04-22 01:45:00,29.9362305,-90.1183137,2018-04-22,01:45:00
2018-04-22 01:45:00,30.055529,-89.95895999999999,2018-04-22,01:45:00
2018-04-22 02:45:00,30.055529,-89.95895999999999,2018-04-22,02:45:00
2018-04-22 11:00:00,30.055529,-89.95895999999999,2018-04-22,11:00:00
2018-04-22 11:00:00,30.055529,-89.95895999999999,2018-04-22,11:00:00
2018-04-22 14:30:00,29.970529,-90.1204105,2018-04-22,14:30:00
2018-04-22 16:25:00,29.9547116,-90.069155,2018-04-22,16:25:00
2018-04-22 16:25:00,29.9718607,-90.03897,2018-04-22,16:25:00
2018-04-22 16:25:00,29.9547116,-90.069155,2018-04-22,16:25:00
2018-04-22 16:25:00,29.9547116,-90.069155,2018-04-22,16:25:00
2018-04-22 16:25:00,30.013297,-90.0747578,2018-04-22,16:25:00
2018-04-22 16:25:00,29.9587961,-90.1172672,2018-04-22,16:25:00
2018-04-22 16:25:00,29.9587961,-90.1172672,2018-04-22,16:25:00
2018-04-22 22:10:00,29.9984885,-90.0500148,2018-04-22,22:10:00
2018-04-22 22:10:00,29.9984885,-90.0500148,2018-04-22,22:10:00
2018-04-22 22:10:00,29.9984885,-90.0500148,2018-04-22,22:10:00
2018-04-22 23:20:00,29.9984885,-90.0500148,2018-04-22,23:20:00
